sample/cell_type,B-cells,CAFs,Cancer Epithelial,Endothelial,Myeloid,Normal Epithelial,PVL,Plasmablasts,T-cells
TCGA-A7-A26E-01B-06R-A277-07,0.1348416348270801,0.3773079092664901,0.0,0.0646537854837319,0.1419818347229265,0.1794760731470426,0.0526877440484114,0.0069796603216047,0.0420713581827125
TCGA-A2-A0CU-01A-12R-A034-07,0.0268543718155242,0.1943048208360527,0.3088649931780171,0.1506769295534233,0.0487647916644741,0.0319685270038452,0.2114469307286774,0.0,0.0271186352199858
TCGA-PL-A8LV-01A-21R-A41B-07,0.0866721036908043,0.1535095227189531,0.1695053273394428,0.0288785549297768,0.0612234600808583,0.3125885126184081,0.0523131781808543,0.0281500752708921,0.1071592651700098
TCGA-BH-A0BC-01A-22R-A084-07,0.0317032524827255,0.2861215016564551,0.1765331553039602,0.1439132527004526,0.1383636659015507,0.0386921672961876,0.0645121520063378,0.005466251712621,0.1146946009397093
TCGA-AR-A1AX-01A-11R-A12P-07,0.204072213338799,0.18470812670163,0.0346357744418917,0.0706079815597912,0.0701430817520336,0.0752829783341631,0.0315757851918777,0.0069544898787886,0.3220195688010246
TCGA-AC-A2FO-01A-11R-A180-07,0.1231624813144974,0.3043777018828004,0.0573182471792579,0.1438461962005175,0.0695837467279289,0.0395965484044829,0.0315739190741343,0.007084310294615,0.2234568489217653
TCGA-AQ-A0Y5-01A-11R-A14M-07,0.0,0.5930601397563524,0.1605979520013494,0.0917926241589324,0.0949627375912115,0.0,0.0384021311480109,0.0211844153441432,0.0
TCGA-AC-A3EH-01A-22R-A22K-07,0.0,0.5203138615727781,0.3258318508712148,0.0529883918612705,0.0549560580146939,0.0009990504634229,0.0192996930595197,0.0,0.0256110941570999
TCGA-AC-A5EH-01A-11R-A28M-07,0.0,0.5513939657861792,0.2002100959155866,0.0255102660085757,0.1125741990384012,0.0393145868628899,0.0218843671136823,0.0,0.0491125192746848
TCGA-D8-A142-01A-11R-A115-07,0.021321702345094,0.3726004642220419,0.0949052061262928,0.0665898530936335,0.0743704303166553,0.1198176570100332,0.1518746994612825,0.0443067641773289,0.0542132232476376
TCGA-D8-A1XB-01A-11R-A14D-07,0.0025962757204416,0.6875844547727616,0.0806123638252755,0.0464992495894636,0.063435208533579,0.0784304436488197,0.0239908438082236,0.003401807123764,0.0134493529776712
TCGA-D8-A1JJ-01A-31R-A14M-07,0.0,0.5154290433470384,0.2286178021919895,0.0383148636294663,0.1317618702441568,0.0135292548748426,0.0259730874679591,0.0068391516334308,0.0395349266111161
TCGA-E2-A10B-01A-11R-A10J-07,0.0180603852290348,0.4121120504653321,0.2712205039927895,0.0793713647713581,0.0832352444997103,0.0,0.0165492628733252,0.0301991137075617,0.0892520744608879
TCGA-A2-A0CP-01A-11R-A034-07,0.0088119230768922,0.5789244336183185,0.1308847293071791,0.0895454956426159,0.0379707688847628,0.0821926428658696,0.0482041206405813,0.0007030685627452,0.0227628174010351
TCGA-BH-A1FJ-01A-11R-A13Q-07,0.0329285526290397,0.16294893394612,0.4099175501796351,0.0870422196508789,0.0435969701468839,0.2172432121117046,0.0463225613357376,0.0,0.0
TCGA-BH-A0C1-01B-11R-A12D-07,0.0089938970701997,0.4380321535483623,0.1662921978988053,0.105115789620453,0.077447633478603,0.0281714174257502,0.0147161372641707,0.0,0.1612307736936554
TCGA-OL-A66P-01A-11R-A31O-07,0.011907579399072,0.1890745365998782,0.1721137616705046,0.0470423871550463,0.0980567350150954,0.0219601364845786,0.0188117187672151,0.1496882160229536,0.2913449288856558
TCGA-E2-A14O-01A-31R-A115-07,0.0008800423637256,0.1785016639987041,0.6088580558977338,0.1687399696734974,0.0333158257302182,0.0,0.0,0.0036861123943243,0.0060183299417964
TCGA-D8-A1XJ-01A-11R-A14M-07,0.0043886074042933,0.2662587348537242,0.3135113465980688,0.2224162508862599,0.1067625463590493,0.0,0.0565829500378034,0.0242434320376269,0.0058361318231736
