gene_id,baseMean,log2FoldChange,pvalue,padj,symbol
ENSG00000123500.9,764375.8293988548,-7.133891831473916,1.835204498157655e-165,3.293090951494096e-161,ENSG00000123500.9
ENSG00000099953.9,2211854.936981168,-6.377628374015657,1.0948282291537652e-149,9.82279887196758e-146,ENSG00000099953.9
ENSG00000230838.1,24574.988757567928,-5.715355400428744,1.8638787520895617e-117,1.1148480109165031e-113,ENSG00000230838.1
ENSG00000117650.12,134849.00853364507,-4.300404173791623,4.746894031040852e-112,2.129456662324926e-108,ENSG00000117650.12
ENSG00000090889.11,147212.28771326764,-4.114279927534387,5.058768365798915e-103,1.8154907911179145e-99,ENSG00000090889.11
ENSG00000060718.20,1105568.3638064484,-6.330092934567401,4.473829306738101e-99,1.3379732180018082e-95,ENSG00000060718.20
ENSG00000119927.13,352140.45683807967,3.7214738094522755,7.595405199477204e-92,1.9470278699916991e-88,ENSG00000119927.13
ENSG00000276043.4,140725.85182521868,-3.5599136946708447,7.341765848515688e-91,1.6467580798220686e-87,ENSG00000276043.4
ENSG00000203805.10,40701.715039401046,-5.064096256075544,6.897963777340174e-89,1.3753006891176897e-85,ENSG00000203805.10
ENSG00000088325.15,456528.18465357757,-3.8583481997697398,7.077205403272785e-88,1.2699337375632686e-84,ENSG00000088325.15
ENSG00000175063.16,226718.5179019256,-4.512373975446966,1.9503699578680062e-87,3.181585320362137e-84,ENSG00000175063.16
ENSG00000123485.11,87726.96050277952,-3.814832478911591,3.2236568898553606e-86,4.820441602630383e-83,ENSG00000123485.11
ENSG00000137745.11,144317.39307390928,-6.778920751085703,1.73088406555176e-84,2.3891525901739063e-81,ENSG00000137745.11
ENSG00000022267.16,593489.0839428501,4.344659659735953,2.2654752501923902e-83,2.7101125259634833e-80,ENSG00000022267.16
ENSG00000158402.18,33352.36164927953,-3.265838236502431,2.1592546983993743e-83,2.7101125259634833e-80,ENSG00000158402.18
ENSG00000137804.12,265583.48085316294,-3.286486712856457,2.552196424228172e-83,2.862288289771895e-80,ENSG00000137804.12
ENSG00000226650.5,7228.6772034866735,-3.9733864345278587,8.289553504207493e-83,8.749867534088191e-80,ENSG00000226650.5
ENSG00000077152.9,126334.03185219607,-3.363405242876415,9.037653911221381e-83,9.009536765719804e-80,ENSG00000077152.9
ENSG00000169607.12,70252.22916717318,-3.5895641498881137,1.831776793004702e-81,1.7299685670355986e-78,ENSG00000169607.12
ENSG00000135451.12,85420.22328632677,-3.794386353559771,4.072044961484314e-81,3.6534387394437264e-78,ENSG00000135451.12
ENSG00000127564.16,309818.3819840478,-3.209257853176857,6.06758807834928e-81,5.184609546566642e-78,ENSG00000127564.16
ENSG00000171848.13,301367.68818267033,-3.7086237024713085,2.3209169446267974e-80,1.8930242570174204e-77,ENSG00000171848.13
ENSG00000079308.16,1326131.784502217,2.7365884269069025,3.485350915486957e-80,2.7191798620651286e-77,ENSG00000079308.16
ENSG00000112984.11,172816.46379439658,-3.5848054858030114,4.5582811836421856e-80,3.4080748983031405e-77,ENSG00000112984.11
ENSG00000029559.6,16033.40973564888,-7.091313346607564,2.4249109238232528e-79,1.740504064683378e-76,ENSG00000029559.6
ENSG00000143228.12,98841.30908266455,-3.955438307993919,2.88150907753402e-79,1.988684572587325e-76,ENSG00000143228.12
ENSG00000226009.1,10165.496871964868,4.584979272174684,6.189781915618041e-79,4.1136832108833385e-76,ENSG00000226009.1
ENSG00000075702.16,72979.74776321168,-3.02184078409235,6.708684214187247e-79,4.2993081978348556e-76,ENSG00000075702.16
ENSG00000169679.14,156753.40905910393,-3.5456005676739473,5.346509141428594e-78,3.3081986218549886e-75,ENSG00000169679.14
ENSG00000187730.8,20949.908084717023,-3.5645051656080406,3.028906925035212e-77,1.811690195427728e-74,ENSG00000187730.8
ENSG00000126787.12,102560.98641450789,-3.5605802054280287,1.2885004365325807e-75,7.458339301013106e-73,ENSG00000126787.12
ENSG00000152253.8,39948.88505428255,-2.8898242171844046,1.4432418342607702e-75,8.092978585617268e-73,ENSG00000152253.8
ENSG00000089685.14,272183.41125937324,-3.9933572033146882,8.648431215383773e-75,4.702649991783225e-72,ENSG00000089685.14
ENSG00000170312.15,268461.9629840945,-3.361670987278295,1.173291824378687e-74,6.19222014607387e-72,ENSG00000170312.15
ENSG00000166851.14,172481.87128187253,-3.582223231581758,2.147467107006368e-74,1.1009757076606364e-71,ENSG00000166851.14
ENSG00000133800.8,66272.73863683741,4.709983360344688,3.4979531190002658e-74,1.7435352990927991e-71,ENSG00000133800.8
ENSG00000143476.17,168434.5678084085,-3.1060588794206523,5.6314022344376386e-74,2.7310778836418646e-71,ENSG00000143476.17
ENSG00000186185.13,70122.75269007395,-3.824181296604855,1.8028322006362597e-73,8.513163423215012e-71,ENSG00000186185.13
ENSG00000138180.15,138556.92274172412,-3.6313433311928085,3.515551417050986e-73,1.617514221219561e-70,ENSG00000138180.15
ENSG00000109674.3,19574.69152664021,-3.632045149057251,6.281739670144501e-73,2.8179884160268232e-70,ENSG00000109674.3
ENSG00000072571.19,87435.89758982063,-3.242843499597741,6.535555277545372e-73,2.860341558543272e-70,ENSG00000072571.19
ENSG00000163815.5,127276.43736964556,3.3935292553069636,1.823451191501427e-72,7.79047813816705e-70,ENSG00000163815.5
ENSG00000165304.7,120128.8690287525,-3.895395013477724,2.677594863148699e-72,1.11736656335675e-69,ENSG00000165304.7
ENSG00000174371.16,84493.55954856778,-3.65302506340313,4.611446053104833e-72,1.8806315449298438e-69,ENSG00000174371.16
ENSG00000066279.17,189449.12824044356,-3.693390773874111,9.261278173917166e-72,3.6929861233948804e-69,ENSG00000066279.17
ENSG00000105974.11,744623.9161249441,3.0854652732426935,1.256025862847707e-71,4.899593061508533e-69,ENSG00000105974.11
ENSG00000101605.12,26473.484058307924,3.2281712173418615,1.5230816873389394e-71,5.814931446299985e-69,ENSG00000101605.12
ENSG00000095637.21,540886.8310445936,3.267960052819524,4.307848388912349e-71,1.610417322721733e-68,ENSG00000095637.21
ENSG00000134962.6,26318.54623289761,4.253745735796922,6.565352849212195e-71,2.404259010740074e-68,ENSG00000134962.6
ENSG00000087586.17,143026.81304160022,-3.2746424600715196,1.3185811804874845e-70,4.732124140533484e-68,ENSG00000087586.17
ENSG00000122952.16,237340.0926523873,-2.727564219519708,1.4826098897664675e-70,5.2164611494057825e-68,ENSG00000122952.16
ENSG00000156970.12,125261.91508558141,-3.1596757880386415,6.278076515435238e-70,2.166419326787883e-67,ENSG00000156970.12
ENSG00000011426.10,275033.971840617,-3.7012686606134317,7.999343003234986e-70,2.7083058650952566e-67,ENSG00000011426.10
ENSG00000167900.11,370746.5788534131,-3.30042335782901,1.1084638199799144e-69,3.6431514587091145e-67,ENSG00000167900.11
ENSG00000117724.12,664885.9361647969,-3.313116776871588,1.1166592188419599e-69,3.6431514587091145e-67,ENSG00000117724.12
ENSG00000025423.11,32586.200198351664,-2.4225601748361574,1.8920915802571386e-69,6.062802020738231e-67,ENSG00000025423.11
ENSG00000131747.14,936399.6068749487,-3.794386859165622,2.2627112612701268e-69,7.123173837233537e-67,ENSG00000131747.14
ENSG00000075218.18,74187.82282868259,-3.3608556789241955,3.5870731665853315e-69,1.1097662224346066e-66,ENSG00000075218.18
ENSG00000123612.15,40844.122538863325,4.742887071685732,4.532138768750298e-69,1.3783847129907686e-66,ENSG00000123612.15
ENSG00000122641.10,434596.7195653794,-3.3861139211950904,5.31060142083069e-69,1.5882238649230986e-66,ENSG00000122641.10
ENSG00000164849.9,44761.82464504523,2.6134031764331636,5.779129182730136e-69,1.700011377949337e-66,ENSG00000164849.9
ENSG00000164611.12,109468.45242574612,-3.3140180696538195,1.1634653640534e-68,3.3672939504151954e-66,ENSG00000164611.12
ENSG00000100526.19,56248.34223978492,-3.0441070093642617,1.3999826258877538e-68,3.987506069671405e-66,ENSG00000100526.19
ENSG00000169418.9,98981.02248985133,3.256520318901853,1.5862368270892577e-68,4.4474115039515063e-66,ENSG00000169418.9
ENSG00000169258.6,58130.339737644856,-3.0754199119284924,2.362066520249724e-68,6.520757175286314e-66,ENSG00000169258.6
ENSG00000118193.11,73586.83787043113,-3.764775733290718,2.556554291636202e-68,6.950728819563638e-66,ENSG00000118193.11
