Unnamed: 0,baseMean,log2FoldChange,pvalue,padj
MYOM1,309.78377396172266,4.728208959545179,0.0,0.0
GPAM,2741.984172911559,4.433442635660163,0.0,0.0
NEK2,764.6315123397155,-4.222784941765862,0.0,0.0
MMP11,13564.68604982219,-6.243123936864911,0.0,0.0
COL10A1,4801.885400024692,-7.11218694978304,0.0,0.0
KCNIP2-AS1,79.25168090280694,5.133183744342786,1.7234022455205585e-291,5.154121648936817e-288
FHL1,5029.392125626815,5.021662286275649,9.574463818990404e-291,2.4543454109709117e-287
TNS1,8585.312158033947,3.10439491076763,7.403074020320122e-278,1.6605095027578032e-274
COL11A1,6794.498794984522,-6.208087507743351,9.21008272829094e-271,1.8362858275161405e-267
LINC01614,148.3115172619996,-5.518074889457731,1.6343148213766363e-264,2.932614515478236e-261
KIF4A,809.8073306141598,-3.824848931375151,2.6408789079066467e-258,4.307993738497896e-255
LYVE1,425.8457122654425,4.954596027022093,2.1368664041498065e-248,3.195327563005344e-245
RDH5,295.15946154337155,3.919386639316043,9.357848652042332e-246,1.29167104778652e-242
MRAP,221.3296382788757,2.6335501898895903,1.2556729483208216e-244,1.6094139560477728e-241
CAV1,4872.996673127735,3.407343642717223,3.854534307902108e-241,4.611050908066361e-238
KLB,206.44236682643333,4.714536568820102,2.849173215799525e-240,3.1953477615191676e-237
HSPB7,545.0643073127674,5.109004248077399,4.606627596110331e-236,4.8624309167413975e-233
SORBS1,3752.704993069506,3.66243519648376,6.147482216850857e-236,6.128356716620655e-233
PLPP4,249.1583548293892,-5.009116578066619,2.177815525808648e-235,2.0567748313215992e-232
NPR1,650.8484375922098,3.625539899119674,4.479858260822868e-234,4.019328831610277e-231
SIK2,2128.1759951286954,2.446866665190353,1.0474210717577812e-233,8.949963672200775e-231
GYG2,1270.1776609516098,4.1430860101278535,4.7354789263774725e-233,3.862428811587153e-230
KCNIP2,555.6015398215948,5.151791412971826,2.509477930555431e-228,1.9578292167776807e-225
GPR146,280.1995179656032,2.8872162495973384,9.026104166889668e-226,6.7485172154445066e-223
