metric,cancer,head,value,std,arm_tag,run_on,results_dir,command
C-index,BRCA,cox,0.6844,0.034,h_cox,4090,output/f4090/BRCA/h_cox,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer BRCA --config config/path_local.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --direct_cox_from_fusion --early_stop_patience 999 --epochs 80 --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/f4090/BRCA/h_cox/fold${FOLD}_run; done
C-index,BRCA,deepsurv,0.6992,0.0156,gm_ds,A800,output/a800/BRCA/gm_ds,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer BRCA --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --early_stop_patience 999 --epochs 80 --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/a800/BRCA/gm_ds/fold${FOLD}_run; done
C-index,BRCA,deephit,0.6586,0.0222,h_dh,4090,output/f4090/BRCA/h_dh,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer BRCA --config config/path_local.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --early_stop_patience 999 --epochs 80 --loss_fn deephit --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/f4090/BRCA/h_dh/fold${FOLD}_run; done
C-index,COAD,cox,0.6218,0.012,mp_cox,4090,output/f4090/COAD/mp_cox,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer COAD --config config/path_coad_scgep.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --direct_cox_from_fusion --epochs 200 --residual_hfuse_to_bulk --sc_scale 0.1 --selection_smoothing_window 1 --discard_ckpt --folds $FOLD --results_dir output/f4090/COAD/mp_cox/fold${FOLD}_run; done
C-index,COAD,deepsurv,0.6147,0.0374,mp_ds,4090,output/f4090/COAD/mp_ds,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer COAD --config config/path_coad_scgep.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --epochs 200 --residual_hfuse_to_bulk --sc_scale 0.1 --selection_smoothing_window 1 --discard_ckpt --folds $FOLD --results_dir output/f4090/COAD/mp_ds/fold${FOLD}_run; done
C-index,COAD,deephit,0.5672,0.0539,h_dh,4090,output/f4090/COAD/h_dh,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer COAD --config config/path_coad_scgep.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --early_stop_patience 999 --epochs 80 --loss_fn deephit --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/f4090/COAD/h_dh/fold${FOLD}_run; done
C-index,HNSC,cox,0.6334,0.0468,mp_cox_s10,A800,output/a800/HNSC/mp_cox_s10,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer HNSC --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --direct_cox_from_fusion --epochs 200 --residual_hfuse_to_bulk --sc_scale 1.0 --selection_smoothing_window 1 --discard_ckpt --folds $FOLD --results_dir output/a800/HNSC/mp_cox_s10/fold${FOLD}_run; done
C-index,HNSC,deepsurv,0.637,0.0272,h_ds,A800,output/a800/HNSC/h_ds,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer HNSC --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --early_stop_patience 999 --epochs 80 --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/a800/HNSC/h_ds/fold${FOLD}_run; done
C-index,HNSC,deephit,0.6305,0.041,Hd_lmlp_s001,A800,output/a800/HNSC/Hd_lmlp_s001,"for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer HNSC --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_encoder light_mlp --bulk_mlp_dropout 0.1 --bulk_mlp_hidden 2048,1024 --bulk_transform log1p_zscore --deterministic --early_stop_patience 999 --embed_dim 512 --epochs 80 --loss_fn deephit --residual_hfuse_to_bulk --sc_scale 0.01 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/a800/HNSC/Hd_lmlp_s001/fold${FOLD}_run; done"
C-index,KIRC,cox,0.7181,0.0319,Kc_val_e80,4090,output/f4090/KIRC/Kc_val_e80,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer KIRC --config config/path_coad_scgep.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --alpha_nce 0.0 --balance_residual --beta_match 0.0 --bulk_transform log1p_zscore --deterministic --direct_cox_from_fusion --epochs 80 --fusion_type concat_mlp --gamma_mask 0.0 --residual_hfuse_to_bulk --sc_scale 0.1 --selection_smoothing_window 1 --discard_ckpt --folds $FOLD --results_dir output/f4090/KIRC/Kc_val_e80/fold${FOLD}_run; done
