,0
0,ENSG00000172057
1,ENSG00000134419
2,ENSG00000104880
3,ENSG00000197651
4,ENSG00000104419
5,ENSG00000163646
6,ENSG00000281613
7,ENSG00000206384
8,ENSG00000136169
9,ENSG00000237689
10,ENSG00000100138
11,ENSG00000107518
12,ENSG00000279880
13,ENSG00000171501
14,ENSG00000278558
15,ENSG00000101391
16,ENSG00000242860
17,ENSG00000279993
18,ENSG00000137265
19,ENSG00000221275
20,ENSG00000171860
21,ENSG00000228204
22,ENSG00000263063
23,ENSG00000086570
24,ENSG00000236968
25,ENSG00000179954
26,ENSG00000157637
27,ENSG00000211648
28,ENSG00000111907
29,ENSG00000186998
30,ENSG00000248199
31,ENSG00000137331
32,ENSG00000269720
33,ENSG00000065320
34,ENSG00000196090
35,ENSG00000120068
36,ENSG00000171560
37,ENSG00000106803
38,ENSG00000128383
39,ENSG00000129654
40,ENSG00000231419
41,ENSG00000250447
42,ENSG00000266933
43,ENSG00000204427
44,ENSG00000253767
45,ENSG00000214866
46,ENSG00000136560
47,ENSG00000174429
48,ENSG00000100823
49,ENSG00000145723
50,ENSG00000170571
51,ENSG00000275672
52,ENSG00000151789
53,ENSG00000267287
54,ENSG00000172795
55,ENSG00000166902
56,ENSG00000154143
57,ENSG00000219545
58,ENSG00000180801
59,ENSG00000050393
60,ENSG00000248801
61,ENSG00000130294
62,ENSG00000253567
63,ENSG00000101916
64,ENSG00000230844
65,ENSG00000260948
66,ENSG00000198841
67,ENSG00000131116
68,ENSG00000105954
69,ENSG00000261799
70,ENSG00000231233
71,ENSG00000247324
72,ENSG00000276317
73,ENSG00000279652
74,ENSG00000164182
75,ENSG00000188859
76,ENSG00000183072
77,ENSG00000242094
78,ENSG00000118690
79,ENSG00000163694
80,ENSG00000225889
81,ENSG00000255109
82,ENSG00000151725
83,ENSG00000278071
84,ENSG00000261543
85,ENSG00000085365
86,ENSG00000105398
87,ENSG00000175018
88,ENSG00000234597
89,ENSG00000226167
90,ENSG00000256061
91,ENSG00000211660
92,ENSG00000279221
93,ENSG00000267745
94,ENSG00000283480
95,ENSG00000164609
96,ENSG00000250764
97,ENSG00000231133
98,ENSG00000158220
99,ENSG00000143847
100,ENSG00000102239
101,ENSG00000100478
102,ENSG00000138640
103,ENSG00000125779
104,ENSG00000138696
