,0
0,CATSPERB
1,SUSD3
2,KMT2A
3,RPL7A
4,HUNK
5,LINC01612
6,NLRP1
7,ZC3H10
8,DAB1
9,COA5
10,EREG
11,ROMO1
12,CCDC142
13,BANF2
14,TPTE2
15,BCO1
16,PGM2
17,NDUFA12
18,CCDC166
19,BMPR1A
20,LINC00658
21,CAPRIN2
22,NKAP
23,ADCY3
24,IL13RA2
25,PLXNA2
26,FARSA
27,DUSP23
28,RCOR1
29,TMEM68
30,FHL1
31,JAKMIP3
32,BAP1
33,SCAF8
34,ADARB1
35,ANGEL1
36,SFXN3
37,PTGES3
38,PPIC
39,DTNBP1
40,RP1L1
41,LINC00839
42,CACNA1A
43,SETSIP
44,AHNAK
45,RECK
46,CLDN10-AS1
47,PRSS36
48,TCF3
49,HADHB
50,HCFC2
51,FAM13C
52,TM4SF1-AS1
53,MLNR
54,COL4A4
55,DCAF12L2
56,ZC3H13
57,COX6B1
58,ARHGAP21
59,THOC5
60,STX10
61,EDIL3
62,LKAAEAR1
63,GPBP1
64,BTG2
65,TP53I3
66,OR8B8
67,TMEM222
68,GNPDA2
69,LAMTOR4
70,SOX17
71,MAG
72,ZNF319
73,LHX4
74,FRRS1L
75,TMPRSS2
76,CAPN15
77,HIVEP3
78,ADGRB2
79,ZSCAN10
80,MRPL42
81,LINC01449
82,HYPK
83,MRPL17
84,BPIFB3
85,PAPPA2
86,HMGA1
87,SIK3
88,APTR
89,GAD2
90,PCP4L1
91,BMS1
92,KCNH1
93,TENM3
94,LINC01182
95,TM6SF2
96,BCAS1
97,PAGE1
98,PPFIBP1
99,HDAC2
100,AKR1C2
101,RALGDS
102,ADGRE1
103,IL20
104,IL5RA
105,FEM1C
106,ZNF792
107,PI4K2A
108,MADD
109,FGF8
110,ACAD9
111,GTSF1L
112,USB1
113,RRP7A
114,PDCD7
115,OR2C1
116,LPO
117,UBE3C
118,OR10A4
119,CHURC1
120,CTDSP2
121,WDR76
122,KRT6B
123,MAP1S
124,MSGN1
125,ZNF625
126,C2orf72
127,FBXW10
128,SCN11A
129,OPLAH
130,GBGT1
131,OLFML3
132,NSUN4
133,PPM1L
134,MEX3C
135,HTR2A
136,DAP
137,ALB
138,PHAX
139,DDN
140,CYBA
141,XCR1
142,RUNX3
143,ZNF397
144,TMEM132A
145,CHD7
146,TXNDC2
147,ENOSF1
148,CDHR2
149,HEBP2
150,NTPCR
151,CARF
152,SIDT2
153,HNRNPA2B1
154,EFCAB13
155,ZBTB18
156,COPS8
157,HCCS
158,GHITM
159,MYCL
160,GSK3B
161,PEX2
162,TRAV16
163,TXK
164,SOX4
165,RPAP2
166,CTNNBL1
167,RASGRP3
168,COX7B
169,GTF3C3
170,CTPS2
171,NAPG
172,KISS1R
173,MED15
174,CYFIP2
175,ZNF417
176,UBE2A
177,MILR1
178,GYPB
179,MYO3A
180,FNIP2
181,RAB15
182,ARHGAP30
183,GLRX3
184,PF4V1
185,C3orf70
186,CLEC16A
187,ZNF805
188,RFX6
189,AMOTL1
190,EHMT1
191,ICMT
192,LINC00707
193,ATP2C2
194,PRKAB1
195,TPMT
196,GPR132
197,PRKAR2A-AS1
198,LINC00434
199,CRBN
200,CFAP20
201,VPS29
202,RFWD3
203,CHD9
204,SMCR2
205,PDRG1
206,NET1
207,MPZL1
208,HOXD13
209,TMEM94
210,CUEDC1
211,SRMS
212,VANGL1
213,SNRPA1
214,BCL2L14
215,BMP2K
216,SCGB1D2
217,ROPN1
218,GRK4
219,RNF144B
220,FAM90A1
221,CACNA1C
222,GOSR1
223,CNTN2
224,SYT6
225,NEXN
226,NTRK1
227,CDIPT
228,ZNF710
229,KCNJ14
230,EXTL2
231,RBM20
232,LINC01392
233,MRO
234,CYB5B
235,MPDZ
236,ME2
237,CKLF
238,ID3
239,TMTC4
240,MCTS1
241,ZC3H12C
242,DPH5
243,ANKRD26
244,SLAIN1
245,TUG1
246,GPM6A
247,VSNL1
248,AVEN
249,HSD17B12
250,BAHD1
251,GCG
252,IL13
253,FRAS1
254,MAP3K4
255,CTRL
256,TNK1
257,OSBPL10-AS1
258,SSC5D
259,CXCL10
260,CPTP
261,TBX19
262,CARD16
263,CTBP1
264,MS4A8
265,FRAT1
266,TNFAIP8L2
267,KDELR1
268,CST9L
269,GRIK4
270,CNTNAP1
271,TEX264
272,CFAP57
273,KIF2A
274,TOB2
275,MPHOSPH10
276,DDX4
277,GPX2
278,CCDC137
279,NLGN1-AS1
280,METRNL
281,CLIP3
282,PTOV1-AS1
283,TRGV4
284,OCSTAMP
285,OSBPL5
286,MFSD2A
287,ZNF680
288,HORMAD2-AS1
289,ACVR2B-AS1
290,NCR3LG1
291,HNF4A
292,OTOR
293,ZSCAN29
294,SENP6
295,TIMD4
296,TBC1D17
297,LINC00163
298,SLC25A36
299,ALPL
300,NR2C1
301,IGLV4-69
302,ALLC
303,MED19
304,ZFX-AS1
305,ARAP1
306,SEMA5A
307,PSMB2
308,INSL5
309,USP26
310,SLC13A5
311,TNNT1
312,LRRC72
313,OXSR1
314,NSA2
315,SDC1
316,TNP2
317,ZNF772
318,ELAC2
319,LDOC1
320,XDH
321,MDH1
322,HS3ST2
323,TREML2
324,TMED10
325,PCDH15
326,USP10
327,ACYP1
328,NUP37
329,PYDC1
330,LINC00853
331,CES2
332,TEAD1
333,UNC5CL
334,ATP11A
335,PTPN9
336,DIAPH2-AS1
337,DSG1
338,MSH2
339,CDC37
340,DOCK8
341,TP53
342,TTC5
343,LTK
344,IL2RB
345,FBXL5
346,EVI5L
347,PIGM
348,LIN7C
349,SLC25A28
350,SIGLEC6
351,EFCAB6
352,CFAP53
353,MRPL54
354,STX2
355,SH2D1B
356,MYH6
357,PRTG
358,LINC01436
359,ABCC12
360,GFM2
361,PEX26
362,LINC01555
363,ZMAT5
364,DOK1
365,PDZD2
366,HIPK1-AS1
367,HDC
368,PYCR2
369,COL15A1
370,TMEM229B
371,VAMP7
372,DCXR
373,CPT1C
374,B4GALT1
375,SRPRB
376,ADRA1A
377,TSPAN33
378,EPHB4
379,PRB4
380,MAP3K13
381,VENTX
382,EMX2
383,LINC01138
384,SLCO4C1
385,BICC1
386,TMEM47
387,GOLT1A
388,PNN
389,CLEC18A
390,ACSS3
391,ANGPTL7
392,ARG1
393,PNMA2
394,OC90
395,PDLIM4
396,IKBKE
397,SEMA4F
398,ULK3
399,GRXCR2
400,PILRA
401,WT1-AS
402,DPH7
403,ARHGAP17
404,OLFML2B
405,MESP2
406,PSMG3-AS1
407,AGPS
408,CLCA4
409,BID
410,XPO6
411,RBM43
412,OSBP2
413,LINC01291
414,PIGG
415,POLL
416,MTCH1
417,MYH15
418,LINC01470
419,SPINT2
420,MYO1B
421,MBD3
422,SLC25A14
423,CTSW
424,RADIL
425,LINC00469
426,ZNF699
427,SNU13
428,STON1-GTF2A1L
429,KLHL2
430,RAD51B
431,SLC1A6
432,GJC2
433,PSMB6
434,CAPNS1
435,SCN4B
436,TMEM221
437,TMCO2
438,MRPS15
439,RWDD1
440,RBM27
441,AMELX
442,RPS6
443,CXCR6
444,EME2
445,CNTNAP2
446,STPG2
447,PARS2
448,ISCU
449,UPF1
450,HCN2
