,0
0,TSPAN6
1,TNMD
2,DPM1
3,SCYL3
4,FGR
5,CFH
6,FUCA2
7,GCLC
8,NFYA
9,STPG1
10,NIPAL3
11,LAS1L
12,ENPP4
13,SEMA3F
14,ANKIB1
15,CYP51A1
16,KRIT1
17,RAD52
18,BAD
19,LAP3
20,CD99
21,HS3ST1
22,AOC1
23,WNT16
24,HECW1
25,MAD1L1
26,LASP1
27,SNX11
28,TMEM176A
29,M6PR
30,KLHL13
31,CYP26B1
32,ICA1
33,DBNDD1
34,ALS2
35,CASP10
36,CFLAR
37,TFPI
38,NDUFAF7
39,RBM5
40,SLC7A2
41,ARF5
42,SARM1
43,POLDIP2
44,PLXND1
45,AK2
46,CD38
47,FKBP4
48,KDM1A
49,RBM6
50,CAMKK1
51,RECQL
52,VPS50
53,HSPB6
54,ARHGAP33
55,NDUFAB1
56,PDK4
57,SLC22A16
58,ZMYND10
59,ABCB5
60,ARX
61,SLC25A13
62,ST7
63,CDC27
64,SLC4A1
65,CALCR
66,HCCS
67,DVL2
68,UPF1
69,SKAP2
70,SLC25A5
71,HOXA11
72,POLR2J
73,DHX33
74,MEOX1
75,THSD7A
76,LIG3
77,RPAP3
78,ACSM3
79,CIAPIN1
80,SPPL2B
81,COPZ2
82,PRKAR2B
83,MSL3
84,CREBBP
85,MPO
86,GCFC2
87,WDR54
88,CROT
89,ABCB4
90,KMT2E
91,RHBDD2
92,SOX8
93,IBTK
94,ZNF195
95,MYCBP2
96,FBXL3
97,ITGAL
98,PDK2
99,ITGA3
100,ZFX
101,LAMP2
102,ITGA2B
103,ASB4
104,GDE1
105,CRLF1
106,OSBPL7
107,TMEM98
108,MAP3K14
109,TMEM132A
110,AP2B1
111,TAC1
112,ZNF263
113,CX3CL1
114,SPATA20
115,CACNA1G
116,TNFRSF12A
117,DLX6
118,MAP3K9
119,RALA
120,BAIAP2L1
121,KDM7A
122,ETV1
123,AGK
124,ALDH3B1
125,TTC22
126,PHTF2
127,CCL26
128,FARP2
129,USH1C
130,GGCT
131,DBF4
132,TBXA2R
133,IFRD1
134,COX10
135,GTF2IRD1
136,PAF1
137,VPS41
138,ARHGAP44
139,ELAC2
140,SCIN
141,ARSD
142,PNPLA4
143,CDKL3
144,PRSS21
145,MARK4
146,PROM1
147,CCDC124
148,PAFAH1B1
149,NOS2
150,DNAH9
151,GAS7
152,TRAPPC6A
153,MATK
154,CD79B
155,ST7L
156,TKTL1
157,PAX6
158,RPUSD1
159,RHBDF1
160,LUC7L
161,CACNA2D2
162,BAIAP3
163,TSR3
164,PIGQ
165,CRAMP1
166,TEAD3
167,SELE
168,DNAJC11
169,FMO3
170,MYLIP
171,PSMB1
172,SYN1
173,JARID2
174,CDKL5
175,CAMK1G
176,CDK11A
177,NADK
178,TFAP2B
179,DLEC1
180,CYTH3
181,ADAM22
182,SYPL1
183,CYB561
184,SPAG9
185,CELSR3
186,AASS
187,PLEKHG6
188,SS18L2
189,MPND
190,MGST1
191,CRY1
192,NFIX
193,ST3GAL1
194,MMP25
195,IL32
196,PKD1
197,MAPK8IP2
198,MED24
199,RHOBTB2
200,HEATR5B
201,SEC62
202,RPS20
203,CSDE1
204,UBE3C
205,REV3L
206,TENM1
207,PAX7
208,IYD
209,FAM76A
210,TRAF3IP3
211,POMT2
212,VTA1
213,MLXIPL
214,BAZ1B
215,RANBP9
216,ETV7
217,SPRTN
218,METTL13
219,DYRK4
220,ZNF207
221,UQCRC1
222,STARD3NL
223,CD9
224,HHATL
225,NCAPD2
226,IFFO1
227,GIPR
228,PHF7
229,SEMA3G
230,NISCH
231,STAB1
232,FUZ
233,SLC6A13
234,IDS
235,PRSS3
236,ZNF200
237,CD4
238,LRRC23
239,BTK
240,HFE
241,SCMH1
242,FYN
243,HIVEP2
244,FMO1
245,LYPLA2
246,CLCN6
247,MRC2
248,TSPAN9
249,APBA3
250,MKS1
251,ABHD5
252,ANOS1
253,AKAP8L
254,MBTD1
255,UTP18
256,RNF216
257,TTC19
258,PTBP1
259,DPF1
260,SYT7
261,LARS2
262,PIK3C2A
263,PLAUR
264,ANLN
265,WIZ
266,RABGAP1
267,DCN
268,QPCTL
269,PPP5C
270,CEP68
271,MAP4K3
272,ZBTB32
273,TYROBP
274,GABRA3
275,BRCA1
276,ERCC1
277,CD22
278,SEMA3B
279,MBTPS2
280,PRICKLE3
281,LTF
282,EXTL3
283,ELOVL5
284,KDM5D
285,CALCOCO1
286,UBR7
287,MAP4K5
288,EHD3
289,MAN2B2
290,SLC7A14
291,CLDN11
292,SLC25A39
293,MVP
294,NUB1
295,PGM3
296,RWDD2A
297,CLK1
298,POLR3B
299,ANGEL1
300,RNF14
301,DNASE1L1
302,DDX11
303,HEBP1
304,GPRC5A
305,MAMLD1
306,CD6
307,TACC3
308,UFL1
309,POLA2
310,ZC3H3
311,CAPN1
312,MDH1
313,SLC30A9
314,MTMR11
315,COX15
316,CCDC88C
317,YAF2
318,ZMYND11
319,WAS
320,DPEP1
321,BID
322,MATR3
323,XYLT2
324,RGPD5
325,NUDCD3
326,ISL1
327,CHDH
328,IL20RA
329,CLCA4
330,GLT8D1
331,ATP2C1
332,IGF1
333,SLC38A5
334,RALBP1
335,RUFY3
336,CNTN1
337,SLC11A1
338,WWTR1
339,AGPS
340,ATP1A2
341,TTC27
342,ZNF582
343,VSIG2
344,PHLDB1
345,MARCO
346,CYP24A1
347,PRDM11
348,SNAI2
349,CD74
350,HGF
351,ZRANB1
352,NCDN
353,ADGRA2
354,ZFP64
355,MNAT1
356,SAMD4A
357,RUNX3
358,PLEKHB1
359,SERPINB1
360,SPAST
361,NRXN3
362,OSBPL5
363,AQR
364,CPS1
365,FHL1
366,NLRP2
367,SLC45A4
368,RNF10
369,ZNF839
370,ZDHHC6
371,GRAMD1B
372,RNH1
373,NDUFS1
374,RB1CC1
375,ERP44
376,ALAS1
377,BIRC3
378,AKAP11
379,GLRX2
380,SNAPC1
381,DERA
382,STRAP
383,ABCC2
384,DEF6
385,PLEKHO1
386,GCLM
387,UBR2
388,EHD2
389,DEPDC1
390,CCDC28A
391,RRAGD
392,HSF2
393,PHF20
394,HSD17B6
395,NR1H3
396,TYMP
397,NCAPH2
398,TOMM34
399,SEC63
400,KPNA6
401,VIM
402,FAS
403,RNASET2
404,CD44
405,KCNG1
406,AGPAT4
407,SLAMF7
408,BTN3A1
409,MIPEP
410,PRKCH
411,INSRR
412,IFNGR1
413,B4GALT7
414,SH2D2A
415,VRK2
416,TNFRSF1B
417,VEZT
418,POU2F2
419,BRD9
420,SNX1
421,TBPL1
422,BCLAF1
423,SLC39A9
424,ANK1
425,IBSP
426,TFB1M
427,RABEP1
428,HMGB3
429,NUP160
430,BAK1
431,MUSK
432,IKZF2
433,GRN
434,FAM13B
435,ARHGAP31
436,CENPQ
437,RANBP3
438,ARID4A
439,PNPLA6
440,IFT88
441,ALG1
442,ZCCHC8
443,ABCF2
444,CHPF2
445,LRRC7
446,FUT8
447,UBA6
448,GAB2
449,ATP6V0A1
450,PIAS1
451,SLC4A7
452,APBA2
453,MAP2K3
454,TMSB10
455,ASTE1
456,RNF19A
457,PEX3
458,GABARAPL2
459,MYOC
460,SH3YL1
461,FAM136A
462,VCL
463,DEPDC1B
464,DAPK2
465,NSMAF
466,STAP1
467,TIMP2
468,RFC1
469,TBC1D23
470,CUL3
471,MYOM2
472,CYP46A1
473,ZZZ3
474,USP2
475,TUBG2
476,RPL26L1
477,FLT4
478,NSUN2
479,MFAP3
480,MRI1
481,METTL1
482,HOXC8
483,AGA
484,PI4K2B
485,BOD1L1
486,MAT2B
487,TLL1
488,EDC4
489,TRIO
490,VCAN
491,CLEC16A
492,MSR1
493,CDH1
494,DNAH5
495,ZFYVE16
496,C6
497,RAI14
498,SOX30
499,PNKP
500,BEST2
501,PHLPP2
502,SPDL1
503,STAU2
504,CTNS
505,RTN4R
506,PHF23
507,CDH10
508,INPP4A
509,RAB27B
510,PSMA4
511,MYO16
512,LSG1
513,PARP3
514,TNC
515,THAP3
516,TDP1
517,AIFM2
518,SPATA7
519,MED17
520,RETSAT
521,CAPG
522,AP2S1
523,TG
524,ADAM28
525,BARX2
526,DCUN1D1
527,JADE2
528,ZIC2
529,LCP2
530,TRIT1
531,ADRB1
532,CUL7
533,CTNNA1
534,PHKA2
535,CNTLN
536,EPHA3
537,HSPA5
538,DSG2
539,GEMIN8
540,OFD1
541,GPM6B
542,PREX2
543,WDR37
544,YTHDC2
545,CTPS2
546,ATP6V1H
547,POLR2B
548,ARAP2
549,TPR
550,CP
551,DTNBP1
552,XK
553,ANO2
554,SCML1
555,WWC3
556,ARHGAP6
557,FAM184B
558,MAP4
559,GOPC
560,USP28
561,HDAC9
562,TSPAN17
563,NOP16
564,CC2D2A
565,RRM2B
566,ZNF800
567,TNFRSF17
568,SNX29
569,LMO3
570,MRPS10
571,GUCA1A
572,RSF1
573,VPS13D
574,CELF2
575,FAM120A
576,R3HDM1
577,COL9A2
578,KITLG
579,ERCC8
580,ADAMTS6
581,H6PD
582,VAMP3
583,PER3
584,UTS2
585,TNFRSF9
586,EPN3
587,LTBP1
588,RCN1
589,ELN
590,RFC2
591,ARID1B
592,CLPTM1L
593,NEDD4L
594,FOXP3
595,PPP1R3F
596,HEXB
597,PTCD2
598,JKAMP
599,DKK3
600,ARHGEF5
601,NFE2L3
602,MCUR1
603,LIMA1
604,LETMD1
605,SLC4A8
606,LAMC3
607,PTGER3
608,TNIP3
609,MAPK9
610,COL23A1
611,BCAR1
612,HERPUD1
613,HOMER3
614,RAD51
615,POLQ
616,PIK3CB
617,CYBA
618,THOC3
619,HEBP2
620,MPHOSPH9
621,PLEKHA5
622,PRSS8
623,SIKE1
624,RRP12
625,FNIP2
626,MSMO1
627,TTC17
628,ALX4
629,FSTL4
630,FOXN3
631,AKR7A2
632,MRTO4
633,NNAT
634,USE1
635,MCF2L2
636,NRIP2
637,LAMA3
638,AP5M1
639,ANAPC4
640,KCNQ1
641,TRAPPC3
642,THRAP3
643,PHPT1
644,ENTPD2
645,LY75
646,ARID4B
647,OPN3
648,PTPRN
649,HHAT
650,KIF1B
651,FOXC1
652,TBC1D22A
653,SYNE2
654,PLEKHH1
655,ATP9A
656,CBLN4
657,CHRDL2
658,FAM168A
659,RELT
660,GALC
661,NOP58
662,KCNH2
663,CUL1
664,FAM114A2
665,CYFIP2
666,TAB2
667,GINM1
668,EIF2AK2
669,USP36
670,KMT2C
671,MCOLN3
672,CCDC85A
673,PUM2
674,MRPL43
675,ITIH4
676,ZFR
677,ZNF280C
678,TRAF1
679,RC3H2
680,IL17RB
681,TRAF3IP2
682,GYG2
683,DCBLD2
684,SERPINB3
685,SOAT1
686,PKP2
687,F7
688,GDI2
689,PRDM1
690,ATG5
691,TMCC3
692,PITHD1
693,MTA3
694,USP13
695,ATP11B
696,LAMC2
697,CDK14
698,SEC61A1
699,PPP1R12A
700,RASGRF1
701,CAMK2B
702,CROCC
703,POLR3E
704,ATP2B4
705,ZC3H11A
706,RIOK2
707,YIPF1
708,NDC1
709,DGKG
710,FLYWCH1
711,UNKL
712,TBXAS1
713,PARP12
714,ALDH18A1
715,TARBP1
716,GATB
717,MXD1
718,CDK17
719,DNAJC25
720,SLC2A3
721,PSD
722,CTDP1
723,YBX3
724,STYK1
725,WNK1
726,CCAR1
727,OGFR
728,GNA15
729,CREB3L3
730,PIGV
731,PTPRU
732,SNRNP40
733,RIMBP2
734,COL11A1
735,QSER1
736,MPC1
737,ACAA1
738,BCAT1
739,HDAC7
740,LZTS1
741,PRDM6
742,SPAG4
743,NCKAP1
744,MRPS35
745,SFSWAP
746,TNK2
747,MON2
748,CDH3
749,GPBP1
750,DGAT2
751,ZNF112
752,CS
753,LTK
754,MRPS24
755,ELMO2
756,WAPL
757,VMP1
758,APPBP2
759,POLD1
760,SEZ6
761,EIF4B
762,SLC6A16
763,SPHK2
764,RPL18
765,CA11
766,ISOC2
767,U2AF2
768,EPN1
769,MED29
770,AHRR
771,ZNF275
772,MTMR1
773,GPC1
774,ADCK1
775,HAGH
776,RNF4
777,CASP8
778,LIMCH1
779,TM7SF3
780,DLX3
781,SPA17
782,TSPAN32
783,DMRT3
784,ST3GAL6
785,ATP2C2
786,NGFR
787,CDON
788,TAF2
789,HIPK2
790,TNPO3
791,RFXANK
792,TMEM161A
793,LPAR2
794,CTSA
795,SUGP2
796,SLC12A2
797,SNX24
798,EYA2
799,CNN2
800,ABCA7
801,SNCAIP
802,DDX20
803,BTBD1
804,FAR2
805,BCAS1
806,CHI3L2
807,SBNO2
808,PMS1
809,HMG20B
810,CALCRL
811,TAF11
812,ANKS1A
813,AP3D1
814,ZNF76
815,NTHL1
816,GNAI3
817,IPO5
818,OAT
819,WDR3
820,PKN2
821,WDR18
822,TRAM2
823,NTN1
824,MCM10
825,DGKA
826,ERBB3
827,ANKRD44
828,ADAT1
829,PDIA5
830,TBC1D22B
831,NDUFB4
832,SPEN
833,MYLK
834,ZC3H15
835,MAP2K4
836,SNAP91
837,SLK
838,CYB5R4
839,COL17A1
840,GSTO2
841,SEC61A2
842,PRKCQ
843,TLE2
844,ASB1
845,FAM107B
846,ME1
847,TBC1D1
848,CDK13
849,MTHFD2
850,SLC9A7
851,FOXJ2
852,YBX1
853,PDE4A
854,PPP2R5A
855,ELAVL1
856,TIE1
857,DIP2B
858,SMARCD1
859,KDM4A
860,NFYC
861,ZMYND12
862,NGEF
863,ASPM
864,CD84
865,ELOVL1
866,SPI1
867,MPPED2
868,ZBTB11
869,ATXN3
870,GOLGA5
871,FGFR2
872,LRRC40
873,ISOC1
874,EML1
875,TRMT11
876,THUMPD1
877,MSANTD3
878,KIF26A
879,ATG2B
880,ARFGEF1
881,ACSM2B
882,ZFAT
883,MTFR1
884,STAG3
885,FECH
886,MYO9A
887,DDX3Y
888,PFKP
889,IDI1
890,SP100
891,KLF6
892,PLPP1
893,NEO1
894,TRAM1
895,PHKA1
896,TNFRSF1A
897,CACNB1
898,EVI5
899,STOML1
900,PKM
901,DHX29
902,DNTTIP2
903,METTL22
904,TP53BP1
905,TRO
906,RRP15
907,RHOA
908,DHX8
909,PRKCZ
910,ZFY
911,IARS2
912,SYT1
913,NAV3
914,IDH3G
915,ROGDI
916,PDZD4
917,ROCK1
918,CBFB
919,PDK3
920,HYAL2
921,HDAC4
922,RASSF1
923,FGFR3
924,IFI35
925,HEATR6
926,COASY
927,PLEKHH3
928,MEF2A
929,OTUD5
930,TFE3
931,TBC1D25
932,ACSL4
933,INPP5A
934,GPKOW
935,FTSJ1
936,PRR11
937,REEP1
938,ATP11A
939,POLR1A
940,LAPTM4A
941,TTC7A
942,IP6K2
943,SRBD1
944,KIF2A
945,RASGRP2
946,PSME4
947,IFT80
948,SIRT2
949,ERLEC1
950,PPP2R5B
951,PYGM
952,PITX1
953,MAST4
954,ADGRF5
955,SDK2
956,NUP133
957,NUCKS1
958,VPS35
959,DNAJA2
960,BCL3
961,KCNAB2
962,ABCC9
963,GAL
964,CLEC2D
965,FUNDC1
966,MAOB
967,RORA
968,DRD4
969,TGFBR3
970,HES2
971,ATP1B3
972,NEDD4
973,PIGB
974,MAPK6
975,GNB5
976,RAB27A
977,LRP6
978,GUCY2C
979,NUCB2
980,PFN2
981,PTPN3
982,SPTB
983,DAPP1
984,FGF10
985,SLC44A1
986,TMEM260
987,SMG6
988,EXOC5
989,CLTCL1
990,FGF22
991,FSTL3
992,DGCR2
993,RNF126
994,MNT
995,ZXDC
996,JMJD6
997,POLB
998,ST6GALNAC1
999,WIPI1
1000,FRMPD1
1001,GBA2
1002,NDST1
1003,ASNS
1004,AP3M2
1005,CNGB1
1006,ST6GALNAC2
1007,PABPC1
1008,TESK2
1009,CFAP20
