,0
0,TSPAN6
1,TNMD
2,DPM1
3,SCYL3
4,FGR
5,CFH
6,FUCA2
7,GCLC
8,NFYA
9,STPG1
10,NIPAL3
11,LAS1L
12,ENPP4
13,SEMA3F
14,ANKIB1
15,CYP51A1
16,KRIT1
17,RAD52
18,BAD
19,LAP3
20,CD99
21,HS3ST1
22,AOC1
23,WNT16
24,HECW1
25,MAD1L1
26,LASP1
27,SNX11
28,TMEM176A
29,M6PR
30,KLHL13
31,CYP26B1
32,ICA1
33,DBNDD1
34,ALS2
35,CASP10
36,CFLAR
37,TFPI
38,NDUFAF7
39,RBM5
40,MTMR7
41,SLC7A2
42,ARF5
43,SARM1
44,POLDIP2
45,PLXND1
46,AK2
47,CD38
48,FKBP4
49,KDM1A
50,RBM6
51,CAMKK1
52,RECQL
53,HSPB6
54,ARHGAP33
55,NDUFAB1
56,PDK4
57,SLC22A16
58,ZMYND10
59,ABCB5
60,ARX
61,SLC25A13
62,ST7
63,CDC27
64,SLC4A1
65,CALCR
66,HCCS
67,DVL2
68,UPF1
69,SKAP2
70,SLC25A5
71,HOXA11
72,POLR2J
73,DHX33
74,MEOX1
75,THSD7A
76,LIG3
77,RPAP3
78,ACSM3
79,CIAPIN1
80,COPZ2
81,PRKAR2B
82,MSL3
83,CREBBP
84,MPO
85,PON1
86,GCFC2
87,WDR54
88,CROT
89,ABCB4
90,KMT2E
91,RHBDD2
92,SOX8
93,IBTK
94,ZNF195
95,MYCBP2
96,FBXL3
97,ITGAL
98,PDK2
99,ITGA3
100,ZFX
101,LAMP2
102,ITGA2B
103,ASB4
104,GDE1
105,CRLF1
106,OSBPL7
107,TMEM98
108,ABCC8
109,TMEM132A
110,AP2B1
111,TAC1
112,ZNF263
113,CX3CL1
114,SPATA20
115,CACNA1G
116,TNFRSF12A
117,DLX6
118,MAP3K9
119,RALA
120,BAIAP2L1
121,KDM7A
122,ETV1
123,AGK
124,ALDH3B1
125,TTC22
126,PHTF2
127,CCL26
128,FARP2
129,USH1C
130,GGCT
131,DBF4
132,TBXA2R
133,IFRD1
134,LGALS14
135,COX10
136,GTF2IRD1
137,PAF1
138,VPS41
139,ARHGAP44
140,ELAC2
141,SCIN
142,ARSD
143,PNPLA4
144,CDKL3
145,UPP2
146,PRSS21
147,MARK4
148,PROM1
149,CCDC124
150,PAFAH1B1
151,NOS2
152,DNAH9
153,SLC13A2
154,GAS7
155,TRAPPC6A
156,MATK
157,CD79B
158,SCN4A
159,ST7L
160,TKTL1
161,PAX6
162,RPUSD1
163,RHBDF1
164,LUC7L
165,CACNA2D2
166,BAIAP3
167,TSR3
168,PIGQ
169,TEAD3
170,SELE
171,DNAJC11
172,FMO3
173,MYLIP
174,PSMB1
175,SYN1
176,JARID2
177,CDKL5
178,CAMK1G
179,CDK11A
180,NADK
181,TFAP2B
182,DLEC1
183,CYTH3
184,ADAM22
185,SYPL1
186,CYB561
187,SPAG9
188,CELSR3
189,AASS
190,PLEKHG6
191,SS18L2
192,MPND
193,MGST1
194,CRY1
195,PGLYRP1
196,NFIX
197,ST3GAL1
198,MMP25
199,IL32
200,PKD1
201,MAPK8IP2
202,MED24
203,RHOBTB2
204,HEATR5B
205,SEC62
206,RPS20
207,CSDE1
208,UBE3C
209,REV3L
210,TENM1
211,MASP2
212,IYD
213,FAM76A
214,TRAF3IP3
215,POMT2
216,VTA1
217,MLXIPL
218,BAZ1B
219,RANBP9
220,ETV7
221,SPRTN
222,METTL13
223,DYRK4
224,ZNF207
225,UQCRC1
226,STARD3NL
227,CD9
228,NCAPD2
229,IFFO1
230,GIPR
231,PHF7
232,SEMA3G
233,NISCH
234,STAB1
235,FUZ
236,SLC6A13
237,IDS
238,PRSS3
239,ZNF200
240,CD4
241,LRRC23
242,BTK
243,HFE
244,SCMH1
245,FYN
246,HIVEP2
247,FMO1
248,LYPLA2
249,CLCN6
250,MRC2
251,NME1-NME2
252,SLC6A7
253,TSPAN9
254,APBA3
255,MKS1
256,ABHD5
257,AKAP8L
258,MBTD1
259,UTP18
260,RNF216
261,TTC19
262,PTBP1
263,DPF1
264,SYT7
265,LARS2
266,PIK3C2A
267,PLAUR
268,ANLN
269,WIZ
270,RABGAP1
271,DCN
272,QPCTL
273,PPP5C
274,CEP68
275,MAP4K3
276,ZBTB32
277,TYROBP
278,BRCA1
279,ERCC1
280,CD22
281,MBTPS2
282,PRICKLE3
283,LTF
284,EXTL3
285,NR1H4
286,ELOVL5
287,KDM5D
288,CALCOCO1
289,UBR7
290,MAP4K5
291,EHD3
292,MAN2B2
293,SLC7A14
294,CLDN11
295,SLC25A39
296,MVP
297,NUB1
298,PGM3
299,RWDD2A
300,CLK1
301,POLR3B
302,ANGEL1
303,RNF14
304,DNASE1L1
305,DDX11
306,HEBP1
307,GPRC5A
308,MAMLD1
309,CD6
310,TACC3
311,UFL1
312,POLA2
313,ZC3H3
314,CAPN1
315,MDH1
316,SLC30A9
317,MTMR11
318,COX15
319,CCDC88C
320,YAF2
321,ZMYND11
322,WAS
323,DPEP1
324,BID
325,MATR3
326,NPC1L1
327,XYLT2
328,RGPD5
329,STMN4
330,NUDCD3
331,CHDH
332,GLT8D1
333,ATP2C1
334,IGF1
335,SLC38A5
336,RALBP1
337,RUFY3
338,CNTN1
339,SLC11A1
340,WWTR1
341,AGPS
342,ATP1A2
343,TTC27
344,ZNF582
345,VSIG2
346,PHLDB1
347,MARCO
348,CYP24A1
349,PRDM11
350,SYT13
351,SNAI2
352,CD74
353,HGF
354,ZRANB1
355,NCDN
356,ZFP64
357,MNAT1
358,SAMD4A
359,RUNX3
360,PLEKHB1
361,SERPINB1
362,CYP3A43
363,SLC7A9
364,SPAST
365,NRXN3
366,OSBPL5
367,AQR
368,CPS1
369,FHL1
370,NLRP2
371,SLC45A4
372,RNF10
373,ZNF839
374,ZDHHC6
375,GRAMD1B
376,RNH1
377,NDUFS1
378,RB1CC1
379,ERP44
380,ALAS1
381,BIRC3
382,AKAP11
383,GLRX2
384,SNAPC1
385,DERA
386,STRAP
387,ABCC2
388,DEF6
389,PLEKHO1
390,GCLM
391,UBR2
392,EHD2
393,DEPDC1
394,CCDC28A
395,RRAGD
396,HSF2
397,PHF20
398,HSD17B6
399,NR1H3
400,TYMP
401,NCAPH2
402,TOMM34
403,SEC63
404,KPNA6
405,VIM
406,RTEL1-TNFRSF6B
407,FAS
408,RNASET2
409,CD44
410,KCNG1
411,AGPAT4
412,SLAMF7
413,BTN3A1
414,MIPEP
415,PRKCH
416,INSRR
417,IFNGR1
418,B4GALT7
419,SH2D2A
420,VRK2
421,TNFRSF1B
422,VEZT
423,POU2F2
424,BRD9
425,SNX1
426,TBPL1
427,BCLAF1
428,SLC39A9
429,ANK1
430,IBSP
431,TFB1M
432,RABEP1
433,HMGB3
434,NUP160
435,BAK1
436,IKZF2
437,GRN
438,FAM13B
439,ARHGAP31
440,CENPQ
441,RANBP3
442,ARID4A
443,PNPLA6
444,IFT88
445,ALG1
446,ZCCHC8
447,ABCF2
448,CHPF2
449,LRRC7
450,FUT8
451,UBA6
452,GAB2
453,ATP6V0A1
454,PIAS1
455,SLC4A7
456,APBA2
457,MAP2K3
458,TMSB10
459,ASTE1
460,RNF19A
461,PEX3
462,GABARAPL2
463,SH3YL1
464,FAM136A
465,VCL
466,DEPDC1B
467,DAPK2
468,NSMAF
469,STAP1
470,TIMP2
471,RFC1
472,TBC1D23
473,CUL3
474,MYOM2
475,CYP46A1
476,ZZZ3
477,SLC18A1
478,USP2
479,CASR
480,TUBG2
481,RPL26L1
482,FLT4
483,NSUN2
484,MFAP3
485,MRI1
486,METTL1
487,HOXC8
488,AGA
489,PI4K2B
490,BOD1L1
491,MAT2B
492,TLL1
493,EDC4
494,TRIO
495,VCAN
496,CLEC16A
497,MSR1
498,CDH1
499,DNAH5
500,ZFYVE16
501,C6
502,RAI14
503,SOX30
504,PNKP
505,BEST2
506,PHLPP2
507,SPDL1
508,STAU2
509,CTNS
510,RTN4R
511,PHF23
512,INPP4A
513,RAB27B
514,PSMA4
515,MYO16
516,LSG1
517,PARP3
518,TNC
519,THAP3
520,TDP1
521,AIFM2
522,SPATA7
523,MED17
524,RETSAT
525,CAPG
526,AP2S1
527,ZPBP
528,TG
529,ADAM28
530,BARX2
531,DCUN1D1
532,JADE2
533,ZIC2
534,LCP2
535,TRIT1
536,ADRB1
537,GUCA2B
538,CUL7
539,CTNNA1
540,PHKA2
541,CNTLN
542,EPHA3
543,HSPA5
544,DSG2
545,GEMIN8
546,OFD1
547,GPM6B
548,PREX2
549,WDR37
550,YTHDC2
551,CTPS2
552,ATP6V1H
553,POLR2B
554,ARAP2
555,TPR
556,CP
557,DTNBP1
558,XK
559,ANO2
560,SCML1
561,WWC3
562,ARHGAP6
563,FAM184B
564,MAP4
565,GOPC
566,ROS1
567,USP28
568,HDAC9
569,TSPAN17
570,NOP16
571,CC2D2A
572,RRM2B
573,ZNF800
574,TNFRSF17
575,SNX29
576,LMO3
577,MRPS10
578,GUCA1A
579,RSF1
580,VPS13D
581,CELF2
582,FAM120A
583,R3HDM1
584,COL9A2
585,KITLG
586,ERCC8
587,ADAMTS6
588,H6PD
589,VAMP3
590,PER3
591,UTS2
592,TNFRSF9
593,EPN3
594,LTBP1
595,RCN1
596,ELN
597,RFC2
598,ARID1B
599,CLPTM1L
600,NEDD4L
601,FOXP3
602,PPP1R3F
603,HEXB
604,PTCD2
605,JKAMP
606,DKK3
607,ARHGEF5
608,NFE2L3
609,MCUR1
610,LIMA1
611,LETMD1
612,SLC4A8
613,LAMC3
614,PTGER3
615,TNIP3
616,MAPK9
617,COL23A1
618,BCAR1
619,HERPUD1
620,HOMER3
621,RAD51
622,POLQ
623,PIK3CB
624,CYBA
625,THOC3
626,HEBP2
627,MPHOSPH9
628,PLEKHA5
629,PRSS8
630,SIKE1
631,RRP12
632,FNIP2
633,MSMO1
634,TTC17
635,ALX4
636,FSTL4
637,FOXN3
638,METTL24
639,AKR7A2
640,MRTO4
641,NNAT
642,USE1
643,MCF2L2
644,NRIP2
645,LAMA3
646,AP5M1
647,ANAPC4
648,KCNQ1
649,TRAPPC3
650,THRAP3
651,PHPT1
652,ENTPD2
653,LY75
654,ARID4B
655,OPN3
656,PTPRN
657,HHAT
658,KIF1B
659,FOXC1
660,TBC1D22A
661,SYNE2
662,PLEKHH1
663,ATP9A
664,CBLN4
665,CHRDL2
666,FAM168A
667,RELT
668,GALC
669,NOP58
670,KCNH2
671,CUL1
672,FAM114A2
673,CYFIP2
674,TAB2
675,GINM1
676,EIF2AK2
677,USP36
678,KMT2C
679,MCOLN3
680,CCDC85A
681,PUM2
682,MRPL43
683,ITIH4
684,ITIH1
685,ZFR
686,ZNF280C
687,PHF21B
688,TRAF1
689,RC3H2
690,IL17RB
691,TRAF3IP2
692,GYG2
693,DCBLD2
694,SOAT1
695,PKP2
696,MSH4
697,F7
698,GDI2
699,PRDM1
700,ATG5
701,TMCC3
702,PITHD1
703,MTA3
704,USP13
705,ATP11B
706,LAMC2
707,CDK14
708,SEC61A1
709,PPP1R12A
710,RASGRF1
711,CAMK2B
712,CROCC
713,POLR3E
714,ATP2B4
715,ZC3H11A
716,RIOK2
717,YIPF1
718,NDC1
719,DGKG
720,FLYWCH1
721,UNKL
722,TBXAS1
723,PARP12
724,ALDH18A1
725,TARBP1
726,MXD1
727,CDK17
728,DNAJC25
729,SLC2A3
730,PSD
731,CTDP1
732,YBX3
733,STYK1
734,WNK1
735,CCAR1
736,OGFR
737,GNA15
738,CREB3L3
739,PIGV
740,PTPRU
741,SNRNP40
742,RIMBP2
743,COL11A1
744,QSER1
745,MPC1
746,ACAA1
747,BCAT1
748,HDAC7
749,LZTS1
750,PRDM6
751,SPAG4
752,NCKAP1
753,MRPS35
754,SFSWAP
755,TNK2
756,MON2
757,CDH3
758,ARSF
759,GPBP1
760,DGAT2
761,ZNF112
762,CS
763,LTK
764,MRPS24
765,ELMO2
766,VMP1
767,APPBP2
768,POLD1
769,SEZ6
770,EIF4B
771,SLC6A16
772,SPHK2
773,RPL18
774,CA11
775,ISOC2
776,U2AF2
777,EPN1
778,MED29
779,AHRR
780,ZNF275
781,MTMR1
782,GPC1
783,ADCK1
784,HAGH
785,RNF4
786,CASP8
787,LIMCH1
788,TM7SF3
789,DLX3
790,SPA17
791,TSPAN32
792,DMRT3
793,ST3GAL6
794,ATP2C2
795,NGFR
796,CDON
797,TAF2
798,HIPK2
799,TNPO3
800,RFXANK
801,TMEM161A
802,LPAR2
803,CTSA
804,SUGP2
805,SLC12A2
806,SNX24
807,EYA2
808,CNN2
809,ABCA7
810,SNCAIP
811,DDX20
812,BTBD1
813,FAR2
814,BCAS1
815,CHI3L2
816,SBNO2
817,PMS1
818,HMG20B
819,CALCRL
820,TAF11
821,ANKS1A
822,AP3D1
823,ZNF76
824,NTHL1
825,GNAI3
826,IPO5
827,OAT
828,WDR3
829,PKN2
830,WDR18
831,TRAM2
832,NTN1
833,GLP2R
834,MCM10
835,DGKA
836,ERBB3
837,ANKRD44
838,ADAT1
839,PDIA5
840,TBC1D22B
841,NDUFB4
842,SPEN
843,MYLK
844,ZC3H15
845,MAP2K4
846,SNAP91
847,SLK
848,CYB5R4
849,COL17A1
850,GSTO2
851,SEC61A2
852,PRKCQ
853,TLE2
854,ASB1
855,FAM107B
856,ME1
857,TBC1D1
858,CDK13
859,MTHFD2
860,SLC9A7
861,FOXJ2
862,YBX1
863,PDE4A
864,PPP2R5A
865,ELAVL1
866,TIE1
867,DIP2B
868,SMARCD1
869,KDM4A
870,NFYC
871,ZMYND12
872,NGEF
873,ASPM
874,CD84
875,ELOVL1
876,SPI1
877,MPPED2
878,CLDN18
879,ZBTB11
880,ATXN3
881,GOLGA5
882,FGFR2
883,LRRC40
884,ISOC1
885,EML1
886,TRMT11
887,THUMPD1
888,MSANTD3
889,KIF26A
890,ATG2B
891,ARFGEF1
892,ACSM2B
893,ZFAT
894,MTFR1
895,STAG3
896,FECH
897,MYO9A
898,DDX3Y
899,PFKP
900,IDI1
901,SP100
902,KLF6
903,NEO1
904,TRAM1
905,PHKA1
906,TNFRSF1A
907,CACNB1
908,EVI5
909,STOML1
910,PKM
911,DHX29
912,DNTTIP2
913,METTL22
914,TP53BP1
915,TRO
916,RRP15
917,RHOA
918,DHX8
919,PRKCZ
920,ZFY
921,IARS2
922,SYT1
923,NAV3
924,IDH3G
925,ROGDI
926,PDZD4
927,ATP2B3
928,ROCK1
929,CBFB
930,PDK3
931,HYAL2
932,HDAC4
933,RASSF1
934,FGFR3
935,IFI35
936,HEATR6
937,COASY
938,PLEKHH3
939,MEF2A
940,OTUD5
941,TFE3
942,TBC1D25
943,ACSL4
944,INPP5A
945,GPKOW
946,FTSJ1
947,PRR11
948,REEP1
949,ATP11A
950,POLR1A
951,LAPTM4A
952,TTC7A
953,IP6K2
954,STON1-GTF2A1L
955,SRBD1
956,KIF2A
957,RASGRP2
958,PSME4
959,IFT80
960,SIRT2
961,ERLEC1
962,PPP2R5B
963,PYGM
964,PITX1
965,MAST4
966,SDK2
967,NUP133
968,NUCKS1
969,VPS35
970,DNAJA2
971,BCL3
972,KCNAB2
973,ABCC9
974,GAL
975,CLEC2D
976,FUNDC1
977,MAOB
978,RORA
979,DRD4
980,TGFBR3
981,HES2
982,ATP1B3
983,NEDD4
984,PIGB
985,MAPK6
986,GNB5
987,RAB27A
988,LRP6
989,GUCY2C
990,NUCB2
991,PFN2
992,PTPN3
993,SPTB
994,DAPP1
995,FGF10
996,SLC44A1
997,TMEM260
998,SMG6
999,EXOC5
1000,CLTCL1
1001,FGF22
1002,FSTL3
1003,DGCR2
1004,RNF126
1005,MNT
1006,ZXDC
1007,JMJD6
