,0
0,TSPAN6
1,TNMD
2,DPM1
3,SCYL3
4,FGR
5,CFH
6,FUCA2
7,GCLC
8,NFYA
9,STPG1
10,NIPAL3
11,LAS1L
12,ENPP4
13,SEMA3F
14,CFTR
15,ANKIB1
16,CYP51A1
17,KRIT1
18,RAD52
19,BAD
20,LAP3
21,CD99
22,HS3ST1
23,AOC1
24,WNT16
25,HECW1
26,MAD1L1
27,LASP1
28,SNX11
29,TMEM176A
30,M6PR
31,KLHL13
32,CYP26B1
33,ICA1
34,DBNDD1
35,ALS2
36,CASP10
37,CFLAR
38,TFPI
39,NDUFAF7
40,RBM5
41,MTMR7
42,SLC7A2
43,ARF5
44,SARM1
45,POLDIP2
46,PLXND1
47,AK2
48,CD38
49,FKBP4
50,KDM1A
51,RBM6
52,CAMKK1
53,RECQL
54,VPS50
55,HSPB6
56,ARHGAP33
57,NDUFAB1
58,PDK4
59,SLC22A16
60,ZMYND10
61,ARX
62,SLC25A13
63,ST7
64,CDC27
65,SLC4A1
66,CALCR
67,HCCS
68,DVL2
69,UPF1
70,SKAP2
71,SLC25A5
72,MCUB
73,POLR2J
74,DHX33
75,THSD7A
76,LIG3
77,RPAP3
78,ACSM3
79,REXO5
80,CIAPIN1
81,SPPL2B
82,COPZ2
83,PRKAR2B
84,MSL3
85,CREBBP
86,TSPOAP1
87,MPO
88,PON1
89,GCFC2
90,WDR54
91,CROT
92,ABCB4
93,KMT2E
94,RHBDD2
95,SOX8
96,IBTK
97,ZNF195
98,MYCBP2
99,FBXL3
100,ITGAL
101,PDK2
102,ITGA3
103,ZFX
104,LAMP2
105,ITGA2B
106,ASB4
107,GDE1
108,REX1BD
109,CRLF1
110,OSBPL7
111,TMEM98
112,MAP3K14
113,ABCC8
114,CACNG3
115,TMEM132A
116,AP2B1
117,TAC1
118,ZNF263
119,CX3CL1
120,SPATA20
121,CACNA1G
122,TNFRSF12A
123,DLX6
124,MAP3K9
125,RALA
126,BAIAP2L1
127,KDM7A
128,ETV1
129,AGK
130,ALDH3B1
131,TTC22
132,PHTF2
133,CCL26
134,FARP2
135,USH1C
136,GGCT
137,DBF4
138,TBXA2R
139,IFRD1
140,COX10
141,GTF2IRD1
142,PAF1
143,VPS41
144,ARHGAP44
145,ELAC2
146,SCIN
147,ARSD
148,PNPLA4
149,CDKL3
150,UPP2
151,PRSS21
152,MARK4
153,PROM1
154,CCDC124
155,PAFAH1B1
156,NOS2
157,DNAH9
158,GAS7
159,TRAPPC6A
160,MATK
161,CD79B
162,SCN4A
163,ST7L
164,TKTL1
165,PAX6
166,RPUSD1
167,RHBDF1
168,LUC7L
169,CACNA2D2
170,BAIAP3
171,TSR3
172,PIGQ
173,CRAMP1
174,TEAD3
175,DNAJC11
176,FMO3
177,MYLIP
178,PSMB1
179,SYN1
180,JARID2
181,CDKL5
182,CAMK1G
183,CDK11A
184,NADK
185,TFAP2B
186,TFAP2D
187,DLEC1
188,CYTH3
189,ADAM22
190,SYPL1
191,CYB561
192,SPAG9
193,CELSR3
194,AASS
195,PLEKHG6
196,SS18L2
197,MPND
198,MGST1
199,CRY1
200,PGLYRP1
201,NFIX
202,ST3GAL1
203,MMP25
204,IL32
205,PKD1
206,MAPK8IP2
207,MED24
208,RHOBTB2
209,HEATR5B
210,SEC62
211,RPS20
212,CSDE1
213,UBE3C
214,REV3L
215,TENM1
216,MASP2
217,IYD
218,FAM76A
219,TRAF3IP3
220,POMT2
221,VTA1
222,MLXIPL
223,BAZ1B
224,RANBP9
225,ETV7
226,SPRTN
227,DYRK4
228,ZNF207
229,UQCRC1
230,STARD3NL
231,CD9
232,HHATL
233,NCAPD2
234,IFFO1
235,GIPR
236,PHF7
237,SEMA3G
238,NISCH
239,STAB1
240,FUZ
241,SLC6A13
242,IDS
243,PRSS3
244,ZNF200
245,CD4
246,LRRC23
247,BTK
248,HFE
249,SCMH1
250,FYN
251,HIVEP2
252,FMO1
253,ELOA
254,LYPLA2
255,CLCN6
256,MRC2
257,NME1-NME2
258,SLC6A7
259,TSPAN9
260,APBA3
261,MKS1
262,ABHD5
263,ANOS1
264,AKAP8L
265,MBTD1
266,UTP18
267,RNF216
268,TTC19
269,PTBP1
270,DPF1
271,SYT7
272,LARS2
273,PIK3C2A
274,PLAUR
275,ANLN
276,WIZ
277,RABGAP1
278,DCN
279,QPCTL
280,PPP5C
281,CEP68
282,MAP4K3
283,ZBTB32
284,TYROBP
285,GABRA3
286,BRCA1
287,ERCC1
288,CD22
289,SEMA3B
290,MBTPS2
291,PRICKLE3
292,LTF
293,EXTL3
294,ELOVL5
295,KDM5D
296,CALCOCO1
297,UBR7
298,MAP4K5
299,EHD3
300,MAN2B2
301,SLC7A14
302,CLDN11
303,SLC25A39
304,MVP
305,NUB1
306,PGM3
307,RWDD2A
308,CLK1
309,POLR3B
310,ANGEL1
311,RNF14
312,DNASE1L1
313,DDX11
314,HEBP1
315,GPRC5A
316,MAMLD1
317,CD6
318,TACC3
319,UFL1
320,POLA2
321,ZC3H3
322,CAPN1
323,ACP3
324,MDH1
325,SLC30A9
326,MTMR11
327,COX15
328,CCDC88C
329,YAF2
330,ZMYND11
331,WAS
332,DPEP1
333,BID
334,MATR3
335,NPC1L1
336,XYLT2
337,RGPD5
338,STMN4
339,NUDCD3
340,CHDH
341,IL20RA
342,CLCA4
343,GLT8D1
344,ATP2C1
345,IGF1
346,SLC38A5
347,RALBP1
348,RUFY3
349,CNTN1
350,SLC11A1
351,WWTR1
352,AGPS
353,ATP1A2
354,TTC27
355,ZNF582
356,PHLDB1
357,MARCO
358,CYP24A1
359,PRDM11
360,SYT13
361,SNAI2
362,CD74
363,HGF
364,ZRANB1
365,NCDN
366,ADGRA2
367,ZFP64
368,MNAT1
369,SAMD4A
370,RUNX3
371,MRE11
372,PLEKHB1
373,SERPINB1
374,CYP3A43
375,SLC7A9
376,SPAST
377,NRXN3
378,OSBPL5
379,AQR
380,CPS1
381,FHL1
382,RTF2
383,GABRA1
384,NLRP2
385,SLC45A4
386,RNF10
387,ZNF839
388,ZDHHC6
389,GRAMD1B
390,RNH1
391,NDUFS1
392,RB1CC1
393,ERP44
394,ALAS1
395,BIRC3
396,AKAP11
397,GLRX2
398,SNAPC1
399,DERA
400,STRAP
401,ABCC2
402,DEF6
403,PLEKHO1
404,GCLM
405,UBR2
406,EHD2
407,DEPDC1
408,CCDC28A
409,RRAGD
410,HSF2
411,PHF20
412,HSD17B6
413,NR1H3
414,TYMP
415,NCAPH2
416,TOMM34
417,SEC63
418,KPNA6
419,VIM
420,RTEL1-TNFRSF6B
421,FAS
422,RNASET2
423,CD44
424,KCNG1
425,AGPAT4
426,SLAMF7
427,BTN3A1
428,MIPEP
429,PRKCH
430,IFNGR1
431,B4GALT7
432,SH2D2A
433,VRK2
434,TNFRSF1B
435,VEZT
436,POU2F2
437,BRD9
438,SNX1
439,TBPL1
440,BCLAF1
441,SLC39A9
442,ANK1
443,IBSP
444,TFB1M
445,RABEP1
446,HMGB3
447,NUP160
448,BAK1
449,MUSK
450,IKZF2
451,GRN
452,FAM13B
453,ARHGAP31
454,CENPQ
455,SARS1
456,RANBP3
457,ARID4A
458,EIPR1
459,PNPLA6
460,IFT88
461,ALG1
462,ZCCHC8
463,ABCF2
464,CHPF2
465,LRRC7
466,FUT8
467,UBA6
468,GAB2
469,ATP6V0A1
470,PIAS1
471,SLC4A7
472,APBA2
473,MAP2K3
474,TMSB10
475,ASTE1
476,RNF19A
477,PEX3
478,GABARAPL2
479,SH3YL1
480,FAM136A
481,VCL
482,DEPDC1B
483,DAPK2
484,NSMAF
485,ADSS2
486,STAP1
487,TIMP2
488,RFC1
489,TBC1D23
490,CUL3
491,MYOM2
492,OTC
493,CYP46A1
494,ZZZ3
495,SLC18A1
496,USP2
497,CASR
498,TUBG2
499,RPL26L1
500,FLT4
501,NSUN2
502,MFAP3
503,MRI1
504,METTL1
505,HOXC8
506,AGA
507,PI4K2B
508,BOD1L1
509,MAT2B
510,TLL1
511,EDC4
512,TRIO
513,VCAN
514,CLEC16A
515,MSR1
516,CDH1
517,MTREX
518,DNAH5
519,ZFYVE16
520,RIPOR1
521,RAI14
522,SOX30
523,PNKP
524,BEST2
525,PHLPP2
526,SPDL1
527,STAU2
528,SLC66A1
529,CTNS
530,RTN4R
531,PHF23
532,CDH10
533,INPP4A
534,RAB27B
535,PSMA4
536,MYO16
537,LSG1
538,PARP3
539,TNC
540,THAP3
541,RIPOR3
542,TDP1
543,AIFM2
544,SPATA7
545,MED17
546,RETSAT
547,CAPG
548,AP2S1
549,USH2A
550,TG
551,ADAM28
552,BARX2
553,DCUN1D1
554,JADE2
555,ZIC2
556,LCP2
557,TRIT1
558,ADRB1
559,CUL7
560,CTNNA1
561,PHKA2
562,CNTLN
563,EPHA3
564,HSPA5
565,DSG2
566,GEMIN8
567,OFD1
568,GPM6B
569,PREX2
570,WDR37
571,YTHDC2
572,CTPS2
573,ATP6V1H
574,POLR2B
575,ARAP2
576,TPR
577,CP
578,DTNBP1
579,XK
580,ANO2
581,SCML1
582,WWC3
583,ARHGAP6
584,FAM184B
585,MAP4
586,GOPC
587,USP28
588,HDAC9
589,TSPAN17
590,NOP16
591,CC2D2A
592,RRM2B
593,ZNF800
594,TNFRSF17
595,SNX29
596,LMO3
597,MRPS10
598,GUCA1A
599,RSF1
600,VPS13D
601,CELF2
602,FAM120A
603,R3HDM1
604,COL9A2
605,KITLG
606,ERCC8
607,ADAMTS6
608,H6PD
609,VAMP3
610,PER3
611,UTS2
612,TNFRSF9
613,EPN3
614,LTBP1
615,RCN1
616,ELN
617,RFC2
618,ARID1B
619,CLPTM1L
620,NEDD4L
621,FOXP3
622,PPP1R3F
623,HEXB
624,PTCD2
625,NEXMIF
626,JKAMP
627,DKK3
628,ARHGEF5
629,NFE2L3
630,MCUR1
631,LIMA1
632,LETMD1
633,SLC4A8
634,LAMC3
635,PTGER3
636,TNIP3
637,MAPK9
638,COL23A1
639,BCAR1
640,HERPUD1
641,HOMER3
642,RAD51
643,POLQ
644,PIK3CB
645,CYBA
646,THOC3
647,HEBP2
648,MPHOSPH9
649,PLEKHA5
650,PRSS8
651,SIKE1
652,RRP12
653,FNIP2
654,MSMO1
655,TTC17
656,ALX4
657,FSTL4
658,FOXN3
659,METTL24
660,AKR7A2
661,MRTO4
662,NNAT
663,USE1
664,MCF2L2
665,NRIP2
666,LAMA3
667,AP5M1
668,ANAPC4
669,KCNQ1
670,TRAPPC3
671,THRAP3
672,PHPT1
673,ENTPD2
674,LY75
675,ARID4B
676,OPN3
677,PTPRN
678,HHAT
679,KIF1B
680,FOXC1
681,TBC1D22A
682,SYNE2
683,PLEKHH1
684,ATP9A
685,CBLN4
686,CHRDL2
687,FAM168A
688,RELT
689,GALC
690,NOP58
691,KCNH2
692,CUL1
693,FAM114A2
694,CYFIP2
695,TAB2
696,GINM1
697,EIF2AK2
698,USP36
699,KMT2C
700,MCOLN3
701,CCDC85A
702,PUM2
703,MRPL43
704,ITIH4
705,ITIH1
706,HPF1
707,ZFR
708,ZNF280C
709,PHF21B
710,TRAF1
711,RC3H2
712,IL17RB
713,TRAF3IP2
714,GYG2
715,DCBLD2
716,SOAT1
717,PKP2
718,MSH4
719,F7
720,GDI2
721,PRDM1
722,ATG5
723,TMCC3
724,PITHD1
725,MTA3
726,USP13
727,ATP11B
728,LAMC2
729,CDK14
730,SEC61A1
731,PPP1R12A
732,RASGRF1
733,CAMK2B
734,CROCC
735,POLR3E
736,ATP2B4
737,ZC3H11A
738,RIOK2
739,YIPF1
740,NDC1
741,DGKG
742,FLYWCH1
743,UNKL
744,TBXAS1
745,PARP12
746,ALDH18A1
747,TARBP1
748,GATB
749,MXD1
750,CDK17
751,DNAJC25
752,SLC2A3
753,PSD
754,CTDP1
755,YBX3
756,STYK1
757,WNK1
758,CCAR1
759,OGFR
760,GNA15
761,CREB3L3
762,PIGV
763,PTPRU
764,SNRNP40
765,RIMBP2
766,COL11A1
767,QSER1
768,MPC1
769,ACAA1
770,BCAT1
771,HDAC7
772,LZTS1
773,PRDM6
774,SPAG4
775,NCKAP1
776,MRPS35
777,GUCY1B1
778,SFSWAP
779,TNK2
780,MON2
781,CDH3
782,ARSF
783,GPBP1
784,DGAT2
785,ZNF112
786,CS
787,LTK
788,MRPS24
789,ELMO2
790,WAPL
791,VMP1
792,APPBP2
793,POLD1
794,SEZ6
795,EIF4B
796,SLC6A16
797,BICRA
798,SPHK2
799,RPL18
800,CA11
801,ISOC2
802,U2AF2
803,EPN1
804,MED29
805,AHRR
806,ZNF275
807,MTMR1
808,GPC1
809,ADCK1
810,HAGH
811,RNF4
812,CASP8
813,LIMCH1
814,INTS13
815,TM7SF3
816,SPA17
817,TSPAN32
818,CCN5
819,ST3GAL6
820,ATP2C2
821,NGFR
822,CDON
823,TAF2
824,HIPK2
825,TNPO3
826,RFXANK
827,TMEM161A
828,LPAR2
829,CTSA
830,SUGP2
831,SLC12A2
832,SNX24
833,EYA2
834,CNN2
835,ABCA7
836,SNCAIP
837,DDX20
838,BTBD1
839,FAR2
840,BCAS1
841,CHI3L2
842,SBNO2
843,PMS1
844,HMG20B
845,CALCRL
846,TAF11
847,ANKS1A
848,AP3D1
849,ZNF76
850,NTHL1
851,GNAI3
852,IPO5
853,OAT
854,WDR3
855,PKN2
856,WDR18
857,TRAM2
858,NTN1
859,GLP2R
860,MCM10
861,DGKA
862,ERBB3
863,ROPN1
864,ANKRD44
865,KARS1
866,ADAT1
867,PDIA5
868,TBC1D22B
869,NDUFB4
870,SPEN
871,MYLK
872,ZC3H15
873,MAP2K4
874,PACC1
875,SNAP91
876,SLK
877,CYB5R4
878,COL17A1
879,GSTO2
880,SEC61A2
881,PRKCQ
882,TLE2
883,ASB1
884,FAM107B
885,ME1
886,TBC1D1
887,CDK13
888,MTHFD2
889,SLC9A7
890,FOXJ2
891,YBX1
892,PDE4A
893,PPP2R5A
894,CTNNA2
895,ELAVL1
896,TIE1
897,DIP2B
898,SMARCD1
899,KDM4A
900,NFYC
901,ZMYND12
902,SLC9A3
903,NGEF
904,ASPM
905,CD84
906,ELOVL1
907,SPI1
908,MPPED2
909,CLDN18
910,ZBTB11
911,ATXN3
912,GOLGA5
913,FGFR2
914,LRRC40
915,ISOC1
916,EML1
917,TRMT11
918,THUMPD1
919,MSANTD3
920,KIF26A
921,ATG2B
922,ARFGEF1
923,ZFAT
924,MTFR1
925,STAG3
926,FECH
927,MYO9A
928,DDX3Y
929,PFKP
930,IDI1
931,SP100
932,KLF6
933,PLPP1
934,NEO1
935,TRAM1
936,PHKA1
937,TNFRSF1A
938,CACNB1
939,EVI5
940,STOML1
941,PKM
942,DHX29
943,DNTTIP2
944,METTL22
945,TP53BP1
946,TRO
947,RRP15
948,RHOA
949,DHX8
950,PRKCZ
951,ZFY
952,IARS2
953,SYT1
954,NAV3
955,IDH3G
956,ROGDI
957,PDZD4
958,ATP2B3
959,ROCK1
960,CBFB
961,PDK3
962,HYAL2
963,HDAC4
964,RASSF1
965,FGFR3
966,IFI35
967,HEATR6
968,COASY
969,PLEKHH3
970,MEF2A
971,OTUD5
972,TFE3
973,TBC1D25
974,ACSL4
975,INPP5A
976,GPKOW
977,FTSJ1
978,PRR11
979,REEP1
980,ATP11A
981,POLR1A
982,LAPTM4A
983,TTC7A
984,IP6K2
985,STON1-GTF2A1L
986,SRBD1
987,KIF2A
988,RASGRP2
989,PSME4
990,IFT80
991,SIRT2
992,ERLEC1
993,PPP2R5B
994,PYGM
995,PAGE1
996,PITX1
997,MAST4
998,ADGRF5
999,SDK2
1000,NUP133
1001,NUCKS1
1002,VPS35
1003,DNAJA2
1004,BCL3
1005,KCNAB2
1006,ABCC9
