,0
0,TSPAN6
1,TNMD
2,DPM1
3,SCYL3
4,FGR
5,CFH
6,FUCA2
7,GCLC
8,NFYA
9,STPG1
10,NIPAL3
11,LAS1L
12,ENPP4
13,SEMA3F
14,CFTR
15,ANKIB1
16,CYP51A1
17,KRIT1
18,RAD52
19,BAD
20,LAP3
21,CD99
22,HS3ST1
23,AOC1
24,WNT16
25,HECW1
26,MAD1L1
27,LASP1
28,SNX11
29,TMEM176A
30,M6PR
31,KLHL13
32,CYP26B1
33,ICA1
34,DBNDD1
35,ALS2
36,CASP10
37,CFLAR
38,TFPI
39,NDUFAF7
40,RBM5
41,MTMR7
42,SLC7A2
43,ARF5
44,SARM1
45,POLDIP2
46,PLXND1
47,AK2
48,CD38
49,FKBP4
50,KDM1A
51,RBM6
52,CAMKK1
53,RECQL
54,VPS50
55,HSPB6
56,ARHGAP33
57,NDUFAB1
58,PDK4
59,SLC22A16
60,ZMYND10
61,ABCB5
62,ARX
63,SLC25A13
64,ST7
65,CDC27
66,SLC4A1
67,CALCR
68,HCCS
69,DVL2
70,UPF1
71,SKAP2
72,SLC25A5
73,HOXA11
74,POLR2J
75,DHX33
76,MEOX1
77,THSD7A
78,LIG3
79,RPAP3
80,ACSM3
81,CIAPIN1
82,SPPL2B
83,COPZ2
84,PRKAR2B
85,MSL3
86,CREBBP
87,MPO
88,PON1
89,GCFC2
90,WDR54
91,CROT
92,ABCB4
93,KMT2E
94,RHBDD2
95,SOX8
96,IBTK
97,ZNF195
98,MYCBP2
99,FBXL3
100,ITGAL
101,PDK2
102,ITGA3
103,ZFX
104,LAMP2
105,ITGA2B
106,ASB4
107,GDE1
108,CRLF1
109,OSBPL7
110,TMEM98
111,MAP3K14
112,ABCC8
113,CACNG3
114,TMEM132A
115,AP2B1
116,TAC1
117,ZNF263
118,CX3CL1
119,SPATA20
120,CACNA1G
121,TNFRSF12A
122,DLX6
123,MAP3K9
124,RALA
125,BAIAP2L1
126,KDM7A
127,ETV1
128,AGK
129,ALDH3B1
130,TTC22
131,PHTF2
132,CCL26
133,FARP2
134,USH1C
135,GGCT
136,DBF4
137,TBXA2R
138,IFRD1
139,LGALS14
140,COX10
141,GTF2IRD1
142,PAF1
143,VPS41
144,ARHGAP44
145,ELAC2
146,SCIN
147,ARSD
148,PNPLA4
149,MYH13
150,CDKL3
151,UPP2
152,PRSS21
153,MARK4
154,PROM1
155,CCDC124
156,PAFAH1B1
157,NOS2
158,DNAH9
159,SLC13A2
160,GAS7
161,TRAPPC6A
162,MATK
163,CD79B
164,SCN4A
165,ST7L
166,TKTL1
167,PAX6
168,RPUSD1
169,RHBDF1
170,LUC7L
171,CACNA2D2
172,BAIAP3
173,TSR3
174,PIGQ
175,CRAMP1
176,TEAD3
177,SELE
178,DNAJC11
179,FMO3
180,MYLIP
181,NOX1
182,PSMB1
183,SYN1
184,JARID2
185,CDKL5
186,CAMK1G
187,CDK11A
188,NADK
189,TFAP2B
190,DLEC1
191,CYTH3
192,ADAM22
193,SYPL1
194,CYB561
195,SPAG9
196,CELSR3
197,AASS
198,PLEKHG6
199,SS18L2
200,MPND
201,MGST1
202,CRY1
203,PGLYRP1
204,NFIX
205,ST3GAL1
206,MMP25
207,IL32
208,PKD1
209,MAPK8IP2
210,MED24
211,RHOBTB2
212,HEATR5B
213,SEC62
214,RPS20
215,CSDE1
216,UBE3C
217,REV3L
218,TENM1
219,PAX7
220,MASP2
221,IYD
222,FAM76A
223,TRAF3IP3
224,POMT2
225,VTA1
226,MLXIPL
227,BAZ1B
228,RANBP9
229,ETV7
230,SPRTN
231,METTL13
232,DYRK4
233,ZNF207
234,UQCRC1
235,STARD3NL
236,CD9
237,HHATL
238,NCAPD2
239,IFFO1
240,GIPR
241,PHF7
242,SEMA3G
243,NISCH
244,STAB1
245,FUZ
246,SLC6A13
247,IDS
248,PRSS3
249,ZNF200
250,CD4
251,LRRC23
252,BTK
253,HFE
254,SCMH1
255,FYN
256,HIVEP2
257,FMO1
258,LYPLA2
259,CLCN6
260,MRC2
261,NME1-NME2
262,SLC6A7
263,TSPAN9
264,APBA3
265,MKS1
266,ABHD5
267,ANOS1
268,AKAP8L
269,MBTD1
270,UTP18
271,RNF216
272,TTC19
273,PTBP1
274,DPF1
275,SYT7
276,LARS2
277,PIK3C2A
278,PLAUR
279,ANLN
280,WIZ
281,RABGAP1
282,DCN
283,QPCTL
284,PPP5C
285,CEP68
286,MAP4K3
287,ZBTB32
288,TYROBP
289,GABRA3
290,BRCA1
291,ERCC1
292,CD22
293,SEMA3B
294,MBTPS2
295,PRICKLE3
296,LTF
297,EXTL3
298,NR1H4
299,ELOVL5
300,KDM5D
301,CALCOCO1
302,UBR7
303,MAP4K5
304,EHD3
305,MAN2B2
306,SLC7A14
307,CLDN11
308,SLC25A39
309,MVP
310,NUB1
311,PGM3
312,RWDD2A
313,CLK1
314,POLR3B
315,ANGEL1
316,RNF14
317,DNASE1L1
318,DDX11
319,HEBP1
320,GPRC5A
321,MAMLD1
322,CD6
323,TACC3
324,UFL1
325,POLA2
326,ZC3H3
327,CAPN1
328,MDH1
329,SLC30A9
330,MTMR11
331,COX15
332,CCDC88C
333,YAF2
334,ZMYND11
335,WAS
336,DPEP1
337,BID
338,MATR3
339,NPC1L1
340,XYLT2
341,RGPD5
342,STMN4
343,NUDCD3
344,ISL1
345,CHDH
346,IL20RA
347,GLT8D1
348,ATP2C1
349,IGF1
350,SLC38A5
351,RALBP1
352,RUFY3
353,CNTN1
354,SLC11A1
355,WWTR1
356,AGPS
357,ATP1A2
358,TTC27
359,ZNF582
360,VSIG2
361,PHLDB1
362,MARCO
363,CYP24A1
364,PRDM11
365,SYT13
366,SNAI2
367,CD74
368,HGF
369,ZRANB1
370,NCDN
371,ADGRA2
372,ZFP64
373,MNAT1
374,SAMD4A
375,RUNX3
376,PLEKHB1
377,SERPINB1
378,CYP3A43
379,SLC7A9
380,SPAST
381,NRXN3
382,OSBPL5
383,AQR
384,CPS1
385,C8B
386,FHL1
387,NLRP2
388,SLC45A4
389,RNF10
390,ZNF839
391,ZDHHC6
392,GRAMD1B
393,RNH1
394,NDUFS1
395,RB1CC1
396,ERP44
397,ALAS1
398,BIRC3
399,AKAP11
400,GLRX2
401,SNAPC1
402,DERA
403,STRAP
404,ABCC2
405,DEF6
406,PLEKHO1
407,GCLM
408,UBR2
409,EHD2
410,DEPDC1
411,CCDC28A
412,RRAGD
413,HSF2
414,PHF20
415,HSD17B6
416,NR1H3
417,TYMP
418,NCAPH2
419,TOMM34
420,SEC63
421,KPNA6
422,VIM
423,RTEL1-TNFRSF6B
424,FAS
425,RNASET2
426,CD44
427,KCNG1
428,AGPAT4
429,SLAMF7
430,BTN3A1
431,MIPEP
432,PRKCH
433,INSRR
434,IFNGR1
435,B4GALT7
436,SH2D2A
437,VRK2
438,TNFRSF1B
439,VEZT
440,POU2F2
441,BRD9
442,SNX1
443,TBPL1
444,BCLAF1
445,SLC39A9
446,ANK1
447,IBSP
448,TFB1M
449,RABEP1
450,HMGB3
451,NUP160
452,BAK1
453,MUSK
454,IKZF2
455,GRN
456,FAM13B
457,ARHGAP31
458,CENPQ
459,RANBP3
460,ARID4A
461,PNPLA6
462,IFT88
463,ALG1
464,ZCCHC8
465,ABCF2
466,CHPF2
467,LRRC7
468,FUT8
469,UBA6
470,GAB2
471,ATP6V0A1
472,PIAS1
473,SLC4A7
474,APBA2
475,MAP2K3
476,TMSB10
477,ASTE1
478,RNF19A
479,PEX3
480,GABARAPL2
481,MYOC
482,SH3YL1
483,FAM136A
484,VCL
485,DEPDC1B
486,DAPK2
487,NSMAF
488,STAP1
489,TIMP2
490,RFC1
491,TBC1D23
492,CUL3
493,MYOM2
494,OTC
495,CYP46A1
496,ZZZ3
497,SLC18A1
498,USP2
499,CASR
500,TUBG2
501,RPL26L1
502,FLT4
503,NSUN2
504,MFAP3
505,MRI1
506,METTL1
507,HOXC8
508,AGA
509,PI4K2B
510,BOD1L1
511,MAT2B
512,TLL1
513,EDC4
514,TRIO
515,VCAN
516,CLEC16A
517,MSR1
518,CDH1
519,DNAH5
520,ZFYVE16
521,C6
522,RAI14
523,SOX30
524,PNKP
525,BEST2
526,PHLPP2
527,SPDL1
528,STAU2
529,CTNS
530,RTN4R
531,PHF23
532,CDH10
533,INPP4A
534,RAB27B
535,PSMA4
536,MYO16
537,LSG1
538,PARP3
539,TNC
540,THAP3
541,TDP1
542,AIFM2
543,SPATA7
544,MED17
545,RETSAT
546,CAPG
547,AP2S1
548,USH2A
549,ZPBP
550,TG
551,ADAM28
552,BARX2
553,DCUN1D1
554,JADE2
555,ZIC2
556,LCP2
557,TRIT1
558,ADRB1
559,GUCA2B
560,CUL7
561,CTNNA1
562,PHKA2
563,CNTLN
564,EPHA3
565,HSPA5
566,DSG2
567,GEMIN8
568,OFD1
569,GPM6B
570,MAGEC2
571,PREX2
572,WDR37
573,YTHDC2
574,CTPS2
575,ATP6V1H
576,POLR2B
577,ARAP2
578,TPR
579,CP
580,DTNBP1
581,XK
582,ANO2
583,SCML1
584,WWC3
585,ARHGAP6
586,FAM184B
587,MAP4
588,GOPC
589,ROS1
590,USP28
591,HDAC9
592,TSPAN17
593,NOP16
594,CC2D2A
595,RRM2B
596,ZNF800
597,TNFRSF17
598,SNX29
599,LMO3
600,MRPS10
601,GUCA1A
602,RSF1
603,VPS13D
604,CELF2
605,FAM120A
606,R3HDM1
607,COL9A2
608,KITLG
609,ERCC8
610,ADAMTS6
611,H6PD
612,VAMP3
613,PER3
614,UTS2
615,TNFRSF9
616,EPN3
617,LTBP1
618,RCN1
619,ELN
620,RFC2
621,ARID1B
622,CLPTM1L
623,NEDD4L
624,FOXP3
625,PPP1R3F
626,HEXB
627,PTCD2
628,JKAMP
629,DKK3
630,ARHGEF5
631,NFE2L3
632,MCUR1
633,LIMA1
634,LETMD1
635,SLC4A8
636,LAMC3
637,PTGER3
638,TNIP3
639,MAPK9
640,COL23A1
641,BCAR1
642,HERPUD1
643,HOMER3
644,RAD51
645,POLQ
646,PIK3CB
647,CYBA
648,THOC3
649,HEBP2
650,MPHOSPH9
651,PLEKHA5
652,PRSS8
653,SIKE1
654,RRP12
655,FNIP2
656,MSMO1
657,TTC17
658,FSTL4
659,FOXN3
660,METTL24
661,AKR7A2
662,MRTO4
663,NNAT
664,USE1
665,MCF2L2
666,NRIP2
667,LAMA3
668,AP5M1
669,ANAPC4
670,KCNQ1
671,TRAPPC3
672,THRAP3
673,PHPT1
674,ENTPD2
675,LY75
676,ARID4B
677,OPN3
678,PTPRN
679,HHAT
680,KIF1B
681,FOXC1
682,TBC1D22A
683,SYNE2
684,PLEKHH1
685,ATP9A
686,SPO11
687,CBLN4
688,CHRDL2
689,FAM168A
690,RELT
691,GALC
692,NOP58
693,KCNH2
694,CUL1
695,FAM114A2
696,CYFIP2
697,TAB2
698,GINM1
699,EIF2AK2
700,USP36
701,KMT2C
702,MCOLN3
703,CCDC85A
704,PUM2
705,MRPL43
706,ITIH4
707,ITIH1
708,ZFR
709,ZNF280C
710,NPFFR2
711,PHF21B
712,TRAF1
713,RC3H2
714,IL17RB
715,TRAF3IP2
716,GYG2
717,DCBLD2
718,SERPINB3
719,SOAT1
720,PKP2
721,MSH4
722,F7
723,GDI2
724,PRDM1
725,ATG5
726,TMCC3
727,PITHD1
728,MTA3
729,USP13
730,ATP11B
731,LAMC2
732,CDK14
733,SEC61A1
734,PPP1R12A
735,RASGRF1
736,CAMK2B
737,CROCC
738,POLR3E
739,ATP2B4
740,ZC3H11A
741,RIOK2
742,YIPF1
743,NDC1
744,DGKG
745,FLYWCH1
746,UNKL
747,TBXAS1
748,PARP12
749,ALDH18A1
750,TARBP1
751,GATB
752,MXD1
753,CDK17
754,DNAJC25
755,SLC2A3
756,PSD
757,CTDP1
758,YBX3
759,STYK1
760,WNK1
761,CCAR1
762,OGFR
763,GNA15
764,CREB3L3
765,PIGV
766,PTPRU
767,SNRNP40
768,RIMBP2
769,COL11A1
770,QSER1
771,MPC1
772,ACAA1
773,BCAT1
774,HDAC7
775,LZTS1
776,PRDM6
777,SPAG4
778,NCKAP1
779,MRPS35
780,SFSWAP
781,TNK2
782,MON2
783,CDH3
784,ARSF
785,GPBP1
786,DGAT2
787,ZNF112
788,CS
789,LTK
790,MRPS24
791,ELMO2
792,WAPL
793,VMP1
794,APPBP2
795,POLD1
796,SEZ6
797,EIF4B
798,SLC6A16
799,SPHK2
800,RPL18
801,CA11
802,ISOC2
803,U2AF2
804,EPN1
805,MED29
806,AHRR
807,ZNF275
808,MTMR1
809,GPC1
810,ADCK1
811,HAGH
812,RNF4
813,CASP8
814,LIMCH1
815,TM7SF3
816,DLX3
817,SPA17
818,TSPAN32
819,DMRT3
820,ST3GAL6
821,ATP2C2
822,NGFR
823,CDON
824,TAF2
825,HIPK2
826,TNPO3
827,RFXANK
828,TMEM161A
829,LPAR2
830,CTSA
831,SUGP2
832,SLC12A2
833,SNX24
834,EYA2
835,CNN2
836,ABCA7
837,SNCAIP
838,DDX20
839,BTBD1
840,FAR2
841,BCAS1
842,CHI3L2
843,SBNO2
844,PMS1
845,HMG20B
846,CALCRL
847,TAF11
848,ANKS1A
849,AP3D1
850,ZNF76
851,NTHL1
852,GNAI3
853,IPO5
854,OAT
855,WDR3
856,PKN2
857,WDR18
858,TRAM2
859,NTN1
860,GLP2R
861,MCM10
862,DGKA
863,ERBB3
864,ROPN1
865,ANKRD44
866,ADAT1
867,PDIA5
868,TBC1D22B
869,NDUFB4
870,SPEN
871,MYLK
872,ZC3H15
873,MAP2K4
874,SNAP91
875,SLK
876,CYB5R4
877,COL17A1
878,GSTO2
879,SEC61A2
880,PRKCQ
881,TLE2
882,ASB1
883,FAM107B
884,ME1
885,TBC1D1
886,CDK13
887,MTHFD2
888,SLC9A7
889,FOXJ2
890,YBX1
891,PDE4A
892,PPP2R5A
893,CTNNA2
894,ELAVL1
895,TIE1
896,DIP2B
897,SMARCD1
898,KDM4A
899,NFYC
900,ZMYND12
901,SLC9A3
902,NGEF
903,ASPM
904,CD84
905,ELOVL1
906,SPI1
907,MPPED2
908,CLDN18
909,ZBTB11
910,ATXN3
911,GOLGA5
912,FGFR2
913,LRRC40
914,ISOC1
915,EML1
916,TRMT11
917,THUMPD1
918,MSANTD3
919,KIF26A
920,ATG2B
921,ARFGEF1
922,ACSM2B
923,ZFAT
924,MTFR1
925,STAG3
926,FECH
927,MYO9A
928,DDX3Y
929,PFKP
930,IDI1
931,SP100
932,KLF6
933,PLPP1
934,NEO1
935,TRAM1
936,PHKA1
937,TNFRSF1A
938,CACNB1
939,EVI5
940,STOML1
941,PKM
942,DHX29
943,DNTTIP2
944,METTL22
945,TP53BP1
946,TRO
947,RRP15
948,RHOA
949,DHX8
950,PRKCZ
951,ZFY
952,IARS2
953,SYT1
954,NAV3
955,IDH3G
956,ROGDI
957,PDZD4
958,ATP2B3
959,ROCK1
960,CBFB
961,PDK3
962,HYAL2
963,HDAC4
964,RASSF1
965,FGFR3
966,IFI35
967,HEATR6
968,COASY
969,PLEKHH3
970,MEF2A
971,OTUD5
972,TFE3
973,TBC1D25
974,ACSL4
975,INPP5A
976,GPKOW
977,FTSJ1
978,PRR11
979,REEP1
980,ATP11A
981,POLR1A
982,LAPTM4A
983,TTC7A
984,IP6K2
985,STON1-GTF2A1L
986,SRBD1
987,KIF2A
988,RASGRP2
989,PSME4
990,IFT80
991,SIRT2
992,ERLEC1
993,PPP2R5B
994,PYGM
995,PAGE1
996,PITX1
997,MAST4
998,ADGRF5
999,SDK2
1000,NUP133
1001,NUCKS1
1002,VPS35
1003,DNAJA2
1004,BCL3
1005,KCNAB2
1006,ABCC9
1007,GAL
