,0
0,A1BG
1,A1BG-AS1
2,A1CF
3,A2M
4,A2M-AS1
5,A2ML1
6,A4GALT
7,A4GNT
8,AACS
9,AADAC
10,AADACL2
11,AADACL3
12,AADACL4
13,AADAT
14,AAGAB
15,AAK1
16,AAMDC
17,AAMP
18,AANAT
19,AAR2
20,AARD
21,AARS2
22,AARSD1
23,AASDH
24,AASDHPPT
25,AASS
26,AATBC
27,AATF
28,AATK
29,ABALON
30,ABAT
31,ABCA1
32,ABCA10
33,ABCA12
34,ABCA13
35,ABCA2
36,ABCA3
37,ABCA4
38,ABCA5
39,ABCA6
40,ABCA7
41,ABCA8
42,ABCA9
43,ABCA9-AS1
44,ABCB1
45,ABCB10
46,ABCB4
47,ABCB5
48,ABCB6
49,ABCB7
50,ABCB8
51,ABCB9
52,ABCC1
53,ABCC10
54,ABCC11
55,ABCC12
56,ABCC2
57,ABCC3
58,ABCC4
59,ABCC5
60,ABCC5-AS1
61,ABCC6
62,ABCC8
63,ABCC9
64,ABCD1
65,ABCD2
66,ABCD3
67,ABCD4
68,ABCE1
69,ABCF2
70,ABCF3
71,ABCG1
72,ABCG2
73,ABCG4
74,ABCG5
75,ABCG8
76,ABHD1
77,ABHD10
78,ABHD11
79,ABHD12
80,ABHD12B
81,ABHD13
82,ABHD14A
83,ABHD14A-ACY1
84,ABHD14B
85,ABHD15
86,ABHD16B
87,ABHD17A
88,ABHD17B
89,ABHD17C
90,ABHD18
91,ABHD2
92,ABHD3
93,ABHD4
94,ABHD5
95,ABHD6
96,ABHD8
97,ABI1
98,ABI2
99,ABI3
100,ABI3BP
101,ABL1
102,ABL2
103,ABLIM1
104,ABLIM2
105,ABLIM3
106,ABRA
107,ABRACL
108,ABTB1
109,ABTB2
110,ACAA1
111,ACAA2
112,ACACB
113,ACAD10
114,ACAD11
115,ACAD8
116,ACAD9
117,ACADL
118,ACADM
119,ACADS
120,ACADSB
121,ACADVL
122,ACAN
123,ACAP1
124,ACAP2
125,ACAP3
126,ACAT1
127,ACAT2
128,ACBD3
129,ACBD4
130,ACBD5
131,ACBD6
132,ACBD7
133,ACCS
134,ACD
135,ACE
136,ACE2
137,ACER1
138,ACER2
139,ACER3
140,ACHE
141,ACIN1
142,ACKR1
143,ACKR2
144,ACKR3
145,ACKR4
146,ACLY
147,ACMSD
148,ACO1
149,ACO2
150,ACOT1
151,ACOT11
152,ACOT12
153,ACOT13
154,ACOT2
155,ACOT4
156,ACOT6
157,ACOT7
158,ACOT8
159,ACOT9
160,ACOX1
161,ACOX2
162,ACOX3
163,ACOXL
164,ACP1
165,ACP2
166,ACP5
167,ACP6
168,ACP7
169,ACRBP
170,ACRV1
171,ACSBG1
172,ACSBG2
173,ACSF2
174,ACSF3
175,ACSL1
176,ACSL3
177,ACSL4
178,ACSL5
179,ACSL6
180,ACSM1
181,ACSM2A
182,ACSM2B
183,ACSM3
184,ACSM4
185,ACSM5
186,ACSM6
187,ACSS1
188,ACSS2
189,ACSS3
190,ACTA1
191,ACTA2
192,ACTA2-AS1
193,ACTB
194,ACTBL2
195,ACTC1
196,ACTG2
197,ACTL6A
198,ACTL6B
199,ACTL7B
200,ACTL8
201,ACTN1
202,ACTN2
203,ACTN3
204,ACTR10
205,ACTR1A
206,ACTR2
207,ACTR3
208,ACTR3B
209,ACTR3C
210,ACTR5
211,ACTR6
212,ACTR8
213,ACTRT1
214,ACTRT2
215,ACTRT3
216,ACVR1
217,ACVR1B
218,ACVR1C
219,ACVR2A
220,ACVR2B
221,ACVR2B-AS1
222,ACVRL1
223,ACY1
224,ACY3
225,ACYP1
226,ACYP2
227,ADA
228,ADAD2
229,ADAM10
230,ADAM11
231,ADAM12
232,ADAM15
233,ADAM17
234,ADAM19
235,ADAM2
236,ADAM20
237,ADAM21
238,ADAM22
239,ADAM23
240,ADAM28
241,ADAM29
242,ADAM30
243,ADAM32
