,0
0,TSPAN6
1,TNMD
2,DPM1
3,SCYL3
4,FGR
5,CFH
6,FUCA2
7,GCLC
8,NFYA
9,STPG1
10,NIPAL3
11,LAS1L
12,ENPP4
13,SEMA3F
14,CFTR
15,ANKIB1
16,CYP51A1
17,KRIT1
18,RAD52
19,BAD
20,LAP3
21,CD99
22,HS3ST1
23,AOC1
24,WNT16
25,HECW1
26,MAD1L1
27,LASP1
28,SNX11
29,TMEM176A
30,M6PR
31,KLHL13
32,CYP26B1
33,ICA1
34,DBNDD1
35,ALS2
36,CASP10
37,CFLAR
38,TFPI
39,NDUFAF7
40,RBM5
41,MTMR7
42,SLC7A2
43,ARF5
44,SARM1
45,POLDIP2
46,PLXND1
47,AK2
48,CD38
49,FKBP4
50,KDM1A
51,RBM6
52,CAMKK1
53,RECQL
54,VPS50
55,HSPB6
56,ARHGAP33
57,NDUFAB1
58,PDK4
59,SLC22A16
60,ZMYND10
61,ABCB5
62,ARX
63,SLC25A13
64,ST7
65,CDC27
66,SLC4A1
67,CALCR
68,HCCS
69,DVL2
70,UPF1
71,SKAP2
72,SLC25A5
73,MCUB
74,HOXA11
75,POLR2J
76,DHX33
77,MEOX1
78,THSD7A
79,LIG3
80,RPAP3
81,ACSM3
82,REXO5
83,CIAPIN1
84,SPPL2B
85,COPZ2
86,PRKAR2B
87,MSL3
88,CREBBP
89,TSPOAP1
90,MPO
91,PON1
92,GCFC2
93,WDR54
94,CROT
95,ABCB4
96,KMT2E
97,RHBDD2
98,SOX8
99,IBTK
100,ZNF195
101,MYCBP2
102,FBXL3
103,ITGAL
104,PDK2
105,ITGA3
106,ZFX
107,LAMP2
108,ITGA2B
109,ASB4
110,GDE1
111,REX1BD
112,CRLF1
113,OSBPL7
114,TMEM98
115,MAP3K14
116,ABCC8
117,TMEM132A
118,AP2B1
119,TAC1
120,ZNF263
121,CX3CL1
122,SPATA20
123,CACNA1G
124,TNFRSF12A
125,DLX6
126,MAP3K9
127,RALA
128,BAIAP2L1
129,KDM7A
130,ETV1
131,AGK
132,ALDH3B1
133,TTC22
134,PHTF2
135,CCL26
136,FARP2
137,USH1C
138,GGCT
139,DBF4
140,TBXA2R
141,IFRD1
142,LGALS14
143,COX10
144,GTF2IRD1
145,PAF1
146,VPS41
147,ARHGAP44
148,ELAC2
149,SCIN
150,ARSD
151,PNPLA4
152,MYH13
153,CDKL3
154,UPP2
155,PRSS21
156,MARK4
157,PROM1
158,CCDC124
159,PAFAH1B1
160,NOS2
161,DNAH9
162,SLC13A2
163,GAS7
164,TRAPPC6A
165,MATK
166,CD79B
167,SCN4A
168,ST7L
169,TKTL1
170,PAX6
171,RPUSD1
172,RHBDF1
173,LUC7L
174,CACNA2D2
175,BAIAP3
176,TSR3
177,PIGQ
178,CRAMP1
179,TEAD3
180,SELE
181,DNAJC11
182,FMO3
183,MYLIP
184,NOX1
185,PSMB1
186,SYN1
187,JARID2
188,CDKL5
189,CAMK1G
190,CDK11A
191,NADK
192,TFAP2B
193,DLEC1
194,CYTH3
195,ADAM22
196,SYPL1
197,CYB561
198,SPAG9
199,CELSR3
200,AASS
201,PLEKHG6
202,SS18L2
203,MPND
204,MGST1
205,CRY1
206,PGLYRP1
207,NFIX
208,ST3GAL1
209,MMP25
210,IL32
211,PKD1
212,MAPK8IP2
213,MED24
214,RHOBTB2
215,HEATR5B
216,SEC62
217,RPS20
218,CSDE1
219,UBE3C
220,REV3L
221,TENM1
222,MASP2
223,IYD
224,FAM76A
225,TRAF3IP3
226,POMT2
227,VTA1
228,MLXIPL
229,BAZ1B
230,RANBP9
231,ETV7
232,SPRTN
233,METTL13
234,DYRK4
235,ZNF207
236,UQCRC1
237,STARD3NL
238,CD9
239,NCAPD2
240,IFFO1
241,GIPR
242,PHF7
243,SEMA3G
244,NISCH
245,STAB1
246,FUZ
247,SLC6A13
248,IDS
249,PRSS3
250,ZNF200
251,CD4
252,LRRC23
253,BTK
254,HFE
255,SCMH1
256,FYN
257,HIVEP2
258,FMO1
259,ELOA
260,LYPLA2
261,CLCN6
262,MRC2
263,NME1-NME2
264,SLC6A7
265,TSPAN9
266,APBA3
267,MKS1
268,ABHD5
269,ANOS1
270,AKAP8L
271,MBTD1
272,UTP18
273,RNF216
274,TTC19
275,PTBP1
276,DPF1
277,SYT7
278,LARS2
279,PIK3C2A
280,PLAUR
281,ANLN
282,WIZ
283,RABGAP1
284,DCN
285,QPCTL
286,PPP5C
287,CEP68
288,MAP4K3
289,ZBTB32
290,TYROBP
291,GABRA3
292,BRCA1
293,ERCC1
294,CD22
295,SEMA3B
296,MBTPS2
297,PRICKLE3
298,LTF
299,EXTL3
300,NR1H4
301,ELOVL5
302,KDM5D
303,CALCOCO1
304,UBR7
305,MAP4K5
306,EHD3
307,MAN2B2
308,SLC7A14
309,CLDN11
310,SLC25A39
311,MVP
312,NUB1
313,PGM3
314,RWDD2A
315,CLK1
316,POLR3B
317,ANGEL1
318,RNF14
319,DNASE1L1
320,DDX11
321,HEBP1
322,GPRC5A
323,MAMLD1
324,CD6
325,TACC3
326,UFL1
327,POLA2
328,ZC3H3
329,CAPN1
330,MDH1
331,SLC30A9
332,MTMR11
333,COX15
334,CCDC88C
335,YAF2
336,ZMYND11
337,WAS
338,DPEP1
339,BID
340,MATR3
341,NPC1L1
342,XYLT2
343,RGPD5
344,NUDCD3
345,ISL1
346,CHDH
347,IL20RA
348,CLCA1
349,CLCA4
350,GLT8D1
351,ATP2C1
352,IGF1
353,SLC38A5
354,RALBP1
355,RUFY3
356,CNTN1
357,SLC11A1
358,WWTR1
359,AGPS
360,ATP1A2
361,TTC27
362,ZNF582
363,VSIG2
364,PHLDB1
365,MARCO
366,CYP24A1
367,PRDM11
368,SYT13
369,SNAI2
370,CD74
371,HGF
372,ZRANB1
373,NCDN
374,ADGRA2
375,ZFP64
376,MNAT1
377,SAMD4A
378,RUNX3
379,MRE11
380,PLEKHB1
381,SERPINB1
382,CYP3A43
383,SLC7A9
384,SPAST
385,NRXN3
386,OSBPL5
387,AQR
388,CPS1
389,C8B
390,FHL1
391,RTF2
392,GABRA1
393,NLRP2
394,SLC45A4
395,RNF10
396,ZNF839
397,ZDHHC6
398,GRAMD1B
399,RNH1
400,NDUFS1
401,RB1CC1
402,ERP44
403,ALAS1
404,BIRC3
405,AKAP11
406,GLRX2
407,SNAPC1
408,DERA
409,STRAP
410,ABCC2
411,DEF6
412,PLEKHO1
413,GCLM
414,UBR2
415,EHD2
416,DEPDC1
417,CCDC28A
418,RRAGD
419,HSF2
420,PHF20
421,HSD17B6
422,NR1H3
423,TYMP
424,NCAPH2
425,TOMM34
426,SEC63
427,KPNA6
428,VIM
429,RTEL1-TNFRSF6B
430,FAS
431,RNASET2
432,CD44
433,KCNG1
434,AGPAT4
435,SLAMF7
436,BTN3A1
437,MIPEP
438,PRKCH
439,INSRR
440,IFNGR1
441,B4GALT7
442,SH2D2A
443,VRK2
444,TNFRSF1B
445,VEZT
446,POU2F2
447,BRD9
448,SNX1
449,TBPL1
450,BCLAF1
451,SLC39A9
452,ANK1
453,IBSP
454,TFB1M
455,RABEP1
456,HMGB3
457,NUP160
458,BAK1
459,MUSK
460,IKZF2
461,GRN
462,FAM13B
463,ARHGAP31
464,CENPQ
465,RANBP3
466,ARID4A
467,EIPR1
468,PNPLA6
469,IFT88
470,ALG1
471,ZCCHC8
472,ABCF2
473,CHPF2
474,LRRC7
475,FUT8
476,UBA6
477,GAB2
478,ATP6V0A1
479,PIAS1
480,SLC4A7
481,APBA2
482,MAP2K3
483,TMSB10
484,ASTE1
485,RNF19A
486,PEX3
487,GABARAPL2
488,MYOC
489,SH3YL1
490,FAM136A
491,VCL
492,DEPDC1B
493,DAPK2
494,NSMAF
495,STAP1
496,TIMP2
497,RFC1
498,TBC1D23
499,CUL3
500,MYOM2
501,OTC
502,CYP46A1
503,SLC18A1
504,USP2
505,CASR
506,TUBG2
507,RPL26L1
508,FLT4
509,NSUN2
510,MFAP3
511,MRI1
512,METTL1
513,HOXC8
514,AGA
515,PI4K2B
516,BOD1L1
517,MAT2B
518,TLL1
519,EDC4
520,TRIO
521,VCAN
522,CLEC16A
523,MSR1
524,CDH1
525,MTREX
526,DNAH5
527,ZFYVE16
528,RIPOR1
529,C6
530,RAI14
531,SOX30
532,PNKP
533,BEST2
534,PHLPP2
535,SPDL1
536,STAU2
537,CTNS
538,RTN4R
539,PHF23
540,CDH10
541,INPP4A
542,RAB27B
543,PSMA4
544,MYO16
545,LSG1
546,PARP3
547,TNC
548,THAP3
549,RIPOR3
550,TDP1
551,AIFM2
552,SPATA7
553,MED17
554,RETSAT
555,CAPG
556,AP2S1
557,USH2A
558,ZPBP
559,TG
560,ADAM28
561,BARX2
562,DCUN1D1
563,JADE2
564,ZIC2
565,LCP2
566,TRIT1
567,ADRB1
568,GUCA2B
569,CUL7
570,CTNNA1
571,PHKA2
572,CNTLN
573,EPHA3
574,HSPA5
575,DSG2
576,GEMIN8
577,OFD1
578,GPM6B
579,MAGEC2
580,PREX2
581,WDR37
582,YTHDC2
583,CTPS2
584,ATP6V1H
585,POLR2B
586,ARAP2
587,TPR
588,CP
589,DTNBP1
590,XK
591,ANO2
592,SCML1
593,WWC3
594,ARHGAP6
595,FAM184B
596,MAP4
597,GOPC
598,ROS1
599,USP28
600,HDAC9
601,TSPAN17
602,NOP16
603,CC2D2A
604,RRM2B
605,ZNF800
606,TNFRSF17
607,SNX29
608,LMO3
609,MRPS10
610,GUCA1A
611,RSF1
612,VPS13D
613,CELF2
614,FAM120A
615,R3HDM1
616,COL9A2
617,KITLG
618,ERCC8
619,ADAMTS6
620,H6PD
621,VAMP3
622,PER3
623,UTS2
624,TNFRSF9
625,EPN3
626,LTBP1
627,RCN1
628,ELN
629,RFC2
630,ARID1B
631,CLPTM1L
632,NEDD4L
633,FOXP3
634,PPP1R3F
635,HEXB
636,PTCD2
637,NEXMIF
638,JKAMP
639,DKK3
640,ARHGEF5
641,NFE2L3
642,MCUR1
643,LIMA1
644,LETMD1
645,SLC4A8
646,LAMC3
647,PTGER3
648,TNIP3
649,MAPK9
650,COL23A1
651,BCAR1
652,HERPUD1
653,HOMER3
654,RAD51
655,POLQ
656,PIK3CB
657,CYBA
658,THOC3
659,HEBP2
660,MPHOSPH9
661,PLEKHA5
662,PRSS8
663,SIKE1
664,RRP12
665,FNIP2
666,MSMO1
667,TTC17
668,ALX4
669,FSTL4
670,FOXN3
671,METTL24
672,AKR7A2
673,MRTO4
674,NNAT
675,USE1
676,MCF2L2
677,NRIP2
678,LAMA3
679,AP5M1
680,ANAPC4
681,KCNQ1
682,TRAPPC3
683,THRAP3
684,PHPT1
685,ENTPD2
686,LY75
687,ARID4B
688,OPN3
689,PTPRN
690,HHAT
691,KIF1B
692,FOXC1
693,TBC1D22A
694,SYNE2
695,PLEKHH1
696,ATP9A
697,SPO11
698,CBLN4
699,CHRDL2
700,FAM168A
701,RELT
702,GALC
703,NOP58
704,KCNH2
705,CUL1
706,FAM114A2
707,CYFIP2
708,TAB2
709,GINM1
710,EIF2AK2
711,USP36
712,KMT2C
713,MCOLN3
714,CCDC85A
715,PUM2
716,MRPL43
717,ITIH4
718,ITIH1
719,HPF1
720,ZFR
721,ZNF280C
722,NPFFR2
723,PHF21B
724,TRAF1
725,RC3H2
726,IL17RB
727,TRAF3IP2
728,GYG2
729,DCBLD2
730,SERPINB3
731,SOAT1
732,PKP2
733,MSH4
734,F7
735,GDI2
736,PRDM1
737,ATG5
738,TMCC3
739,PITHD1
740,MTA3
741,USP13
742,ATP11B
743,LAMC2
744,CDK14
745,SEC61A1
746,PPP1R12A
747,RASGRF1
748,CAMK2B
749,CROCC
750,POLR3E
751,ATP2B4
752,ZC3H11A
753,RIOK2
754,YIPF1
755,NDC1
756,DGKG
757,FLYWCH1
758,UNKL
759,TBXAS1
760,PARP12
761,ALDH18A1
762,TARBP1
763,GATB
764,MXD1
765,CDK17
766,DNAJC25
767,SLC2A3
768,PSD
769,CTDP1
770,YBX3
771,STYK1
772,WNK1
773,CCAR1
774,OGFR
775,GNA15
776,CREB3L3
777,PIGV
778,PTPRU
779,SNRNP40
780,RIMBP2
781,COL11A1
782,QSER1
783,MPC1
784,ACAA1
785,BCAT1
786,HDAC7
787,LZTS1
788,PRDM6
789,SPAG4
790,NCKAP1
791,MRPS35
792,GUCY1B1
793,SFSWAP
794,TNK2
795,MON2
796,CDH3
797,ARSF
798,GPBP1
799,DGAT2
800,ZNF112
801,CS
802,LTK
803,MRPS24
804,ELMO2
805,WAPL
806,VMP1
807,APPBP2
808,POLD1
809,SEZ6
810,EIF4B
811,SLC6A16
812,BICRA
813,SPHK2
814,RPL18
815,CA11
816,ISOC2
817,U2AF2
818,EPN1
819,MED29
820,AHRR
821,ZNF275
822,MTMR1
823,GPC1
824,ADCK1
825,HAGH
826,RNF4
827,CASP8
828,LIMCH1
829,INTS13
830,TM7SF3
831,DLX3
832,SPA17
833,TSPAN32
834,DMRT3
835,ST3GAL6
836,ATP2C2
837,NGFR
838,CDON
839,TAF2
840,HIPK2
841,TNPO3
842,RFXANK
843,TMEM161A
844,LPAR2
845,CTSA
846,SUGP2
847,SLC12A2
848,SNX24
849,EYA2
850,CNN2
851,ABCA7
852,SNCAIP
853,DDX20
854,BTBD1
855,FAR2
856,BCAS1
857,CHI3L2
858,SBNO2
859,PMS1
860,HMG20B
861,CALCRL
862,TAF11
863,ANKS1A
864,AP3D1
865,ZNF76
866,NTHL1
867,GNAI3
868,IPO5
869,OAT
870,WDR3
871,PKN2
872,WDR18
873,TRAM2
874,NTN1
875,GLP2R
876,MCM10
877,DGKA
878,ERBB3
879,ROPN1
880,ANKRD44
881,ADAT1
882,PDIA5
883,TBC1D22B
884,NDUFB4
885,SPEN
886,MYLK
887,ZC3H15
888,MAP2K4
889,SNAP91
890,SLK
891,CYB5R4
892,COL17A1
893,GSTO2
894,SEC61A2
895,PRKCQ
896,TLE2
897,ASB1
898,FAM107B
899,ME1
900,TBC1D1
901,CDK13
902,MTHFD2
903,SLC9A7
904,FOXJ2
905,YBX1
906,PDE4A
907,PPP2R5A
908,CTNNA2
909,ELAVL1
910,TIE1
911,DIP2B
912,SMARCD1
913,KDM4A
914,NFYC
915,ZMYND12
916,SLC9A3
917,NGEF
918,ASPM
919,CD84
920,ELOVL1
921,SPI1
922,MPPED2
923,CLDN18
924,ZBTB11
925,ATXN3
926,GOLGA5
927,FGFR2
928,LRRC40
929,ISOC1
930,EML1
931,TRMT11
932,THUMPD1
933,MSANTD3
934,KIF26A
935,ATG2B
936,ARFGEF1
937,ACSM2B
938,ZFAT
939,MTFR1
940,STAG3
941,FECH
942,MYO9A
943,DDX3Y
944,PFKP
945,IDI1
946,SP100
947,KLF6
948,PLPP1
949,NEO1
950,TRAM1
951,PHKA1
952,TNFRSF1A
953,CACNB1
954,EVI5
955,STOML1
956,PKM
957,DHX29
958,DNTTIP2
959,METTL22
960,TP53BP1
961,TRO
962,RRP15
963,RHOA
964,DHX8
965,PRKCZ
966,ZFY
967,IARS2
968,SYT1
969,NAV3
970,IDH3G
971,ROGDI
972,PDZD4
973,ATP2B3
974,ROCK1
975,CBFB
976,PDK3
977,HYAL2
978,HDAC4
979,RASSF1
980,FGFR3
981,IFI35
982,HEATR6
983,COASY
984,PLEKHH3
985,MEF2A
986,OTUD5
987,TFE3
988,TBC1D25
989,ACSL4
990,INPP5A
991,GPKOW
992,FTSJ1
993,PRR11
994,REEP1
995,ATP11A
996,POLR1A
997,LAPTM4A
998,TTC7A
999,IP6K2
1000,STON1-GTF2A1L
1001,SRBD1
1002,KIF2A
1003,RASGRP2
1004,PSME4
1005,IFT80
1006,SIRT2
1007,ERLEC1
