,0
0,ENSG00000121410
1,ENSG00000268895
2,ENSG00000148584
3,ENSG00000175899
4,ENSG00000245105
5,ENSG00000166535
6,ENSG00000128274
7,ENSG00000118017
8,ENSG00000081760
9,ENSG00000114771
10,ENSG00000197953
11,ENSG00000188984
12,ENSG00000204518
13,ENSG00000109576
14,ENSG00000103591
15,ENSG00000115977
16,ENSG00000087884
17,ENSG00000127837
18,ENSG00000129673
19,ENSG00000131043
20,ENSG00000205002
21,ENSG00000124608
22,ENSG00000266967
23,ENSG00000157426
24,ENSG00000149313
25,ENSG00000008311
26,ENSG00000215458
27,ENSG00000275700
28,ENSG00000181409
29,ENSG00000281376
30,ENSG00000183044
31,ENSG00000165029
32,ENSG00000154263
33,ENSG00000144452
34,ENSG00000179869
35,ENSG00000107331
36,ENSG00000167972
37,ENSG00000198691
38,ENSG00000154265
39,ENSG00000154262
40,ENSG00000064687
41,ENSG00000141338
42,ENSG00000154258
43,ENSG00000231749
44,ENSG00000085563
45,ENSG00000135776
46,ENSG00000005471
47,ENSG00000004846
48,ENSG00000115657
49,ENSG00000131269
50,ENSG00000197150
51,ENSG00000150967
52,ENSG00000103222
53,ENSG00000124574
54,ENSG00000121270
55,ENSG00000140798
56,ENSG00000023839
57,ENSG00000108846
58,ENSG00000125257
59,ENSG00000114770
60,ENSG00000223882
61,ENSG00000091262
62,ENSG00000006071
63,ENSG00000069431
64,ENSG00000101986
65,ENSG00000173208
66,ENSG00000117528
67,ENSG00000119688
68,ENSG00000164163
69,ENSG00000033050
70,ENSG00000161204
71,ENSG00000160179
72,ENSG00000118777
73,ENSG00000172350
74,ENSG00000138075
75,ENSG00000143921
76,ENSG00000143994
77,ENSG00000144827
78,ENSG00000106077
79,ENSG00000100997
80,ENSG00000131969
81,ENSG00000139826
82,ENSG00000248487
83,ENSG00000114786
84,ENSG00000114779
85,ENSG00000168792
86,ENSG00000183260
87,ENSG00000129968
88,ENSG00000107362
89,ENSG00000136379
90,ENSG00000164074
91,ENSG00000140526
92,ENSG00000158201
93,ENSG00000100439
94,ENSG00000011198
95,ENSG00000163686
96,ENSG00000127220
97,ENSG00000136754
98,ENSG00000138443
99,ENSG00000108798
100,ENSG00000154175
101,ENSG00000097007
102,ENSG00000143322
103,ENSG00000099204
104,ENSG00000163995
105,ENSG00000173210
106,ENSG00000174429
107,ENSG00000146386
108,ENSG00000114626
109,ENSG00000166016
110,ENSG00000060971
111,ENSG00000167315
112,ENSG00000076555
113,ENSG00000111271
114,ENSG00000240303
115,ENSG00000151498
116,ENSG00000177646
117,ENSG00000115361
118,ENSG00000117054
119,ENSG00000122971
120,ENSG00000196177
121,ENSG00000072778
122,ENSG00000157766
123,ENSG00000072818
124,ENSG00000114331
125,ENSG00000131584
126,ENSG00000075239
127,ENSG00000120437
128,ENSG00000182827
129,ENSG00000181513
130,ENSG00000107897
131,ENSG00000230124
132,ENSG00000176244
133,ENSG00000110455
134,ENSG00000102977
135,ENSG00000159640
136,ENSG00000130234
137,ENSG00000167769
138,ENSG00000177076
139,ENSG00000078124
140,ENSG00000087085
141,ENSG00000100813
142,ENSG00000213088
143,ENSG00000144648
144,ENSG00000144476
145,ENSG00000129048
146,ENSG00000131473
147,ENSG00000153086
148,ENSG00000122729
149,ENSG00000100412
150,ENSG00000184227
151,ENSG00000162390
152,ENSG00000172497
153,ENSG00000112304
154,ENSG00000119673
155,ENSG00000177465
156,ENSG00000205669
157,ENSG00000097021
158,ENSG00000101473
159,ENSG00000123130
160,ENSG00000161533
161,ENSG00000168306
162,ENSG00000087008
163,ENSG00000153093
164,ENSG00000143727
165,ENSG00000134575
166,ENSG00000102575
167,ENSG00000162836
168,ENSG00000183760
169,ENSG00000111644
170,ENSG00000134940
171,ENSG00000103740
172,ENSG00000130377
173,ENSG00000167107
174,ENSG00000176715
175,ENSG00000151726
176,ENSG00000123983
177,ENSG00000068366
178,ENSG00000197142
179,ENSG00000164398
180,ENSG00000166743
181,ENSG00000183747
182,ENSG00000066813
183,ENSG00000005187
184,ENSG00000215009
185,ENSG00000183549
186,ENSG00000173124
187,ENSG00000154930
188,ENSG00000131069
189,ENSG00000111058
190,ENSG00000143632
191,ENSG00000107796
192,ENSG00000180139
193,ENSG00000075624
194,ENSG00000169067
195,ENSG00000159251
196,ENSG00000163017
197,ENSG00000136518
198,ENSG00000077080
199,ENSG00000148156
200,ENSG00000117148
201,ENSG00000072110
202,ENSG00000077522
203,ENSG00000248746
204,ENSG00000131966
205,ENSG00000138107
206,ENSG00000138071
207,ENSG00000115091
208,ENSG00000133627
209,ENSG00000106526
210,ENSG00000101442
211,ENSG00000075089
212,ENSG00000113812
213,ENSG00000123165
214,ENSG00000169717
215,ENSG00000184378
216,ENSG00000115170
217,ENSG00000135503
218,ENSG00000123612
219,ENSG00000121989
220,ENSG00000114739
221,ENSG00000229589
222,ENSG00000139567
223,ENSG00000243989
224,ENSG00000132744
225,ENSG00000119640
226,ENSG00000170634
227,ENSG00000196839
228,ENSG00000140955
229,ENSG00000137845
230,ENSG00000073670
231,ENSG00000148848
232,ENSG00000143537
233,ENSG00000151694
234,ENSG00000135074
235,ENSG00000104755
236,ENSG00000134007
237,ENSG00000139985
238,ENSG00000008277
239,ENSG00000114948
240,ENSG00000042980
241,ENSG00000168594
242,ENSG00000134249
243,ENSG00000197140
244,ENSG00000149451
245,ENSG00000151651
246,ENSG00000134028
247,ENSG00000154734
248,ENSG00000142303
249,ENSG00000151388
250,ENSG00000138316
251,ENSG00000166106
252,ENSG00000145536
253,ENSG00000140470
254,ENSG00000140873
255,ENSG00000145808
256,ENSG00000087116
257,ENSG00000173157
258,ENSG00000156140
259,ENSG00000158859
260,ENSG00000154736
261,ENSG00000049192
262,ENSG00000136378
263,ENSG00000134917
264,ENSG00000163638
265,ENSG00000241158
266,ENSG00000241684
267,ENSG00000178031
