"seqnames","start","end","width","strand","source","type","score","phase","gene_id","gene_type","gene_name","level","havana_gene","tag"
"GL000009.2",56140,58376,2237,"-","ENSEMBL","gene",2237,NA,"ENSG00000278704.1","protein_coding","BX004987.1","3",NA,NA
"GL000194.1",53590,115018,61429,"-","ENSEMBL","gene",2179,NA,"ENSG00000277400.1","protein_coding","AC145212.2","3",NA,NA
"GL000194.1",53594,115055,61462,"-","ENSEMBL","gene",1599,NA,"ENSG00000274847.1","protein_coding","AC145212.1","3",NA,NA
"GL000195.1",37434,37534,101,"-","ENSEMBL","gene",101,NA,"ENSG00000277428.1","misc_RNA","Y_RNA","3",NA,NA
"GL000195.1",42939,49164,6226,"-","ENSEMBL","gene",2195,NA,"ENSG00000276256.1","protein_coding","AC011043.1","3",NA,NA
"GL000195.1",173872,179372,5501,"+","ENSEMBL","gene",1468,NA,"ENSG00000278198.1","protein_coding","AC011043.2","3",NA,NA
"GL000205.2",93050,93150,101,"-","ENSEMBL","gene",101,NA,"ENSG00000276932.1","misc_RNA","Y_RNA","3",NA,NA
"GL000205.2",99351,104855,5505,"-","ENSEMBL","gene",1468,NA,"ENSG00000273496.1","protein_coding","AC011841.1","3",NA,NA
"GL000209.2",2844,11554,8711,"-","HAVANA","gene",1035,NA,"ENSG00000273735.4","protein_coding","KIR3DL2","2","OTTHUMG00000189013.2",NA
"GL000209.2",13877,27891,14015,"-","HAVANA","gene",1101,NA,"ENSG00000273517.1","protein_coding","KIR2DS1","2","OTTHUMG00000188995.1",NA
"GL000209.2",29981,44855,14875,"-","HAVANA","gene",1455,NA,"ENSG00000277650.1","protein_coding","KIR2DS5","2","OTTHUMG00000188996.1",NA
"GL000209.2",46835,56299,9465,"-","HAVANA","gene",1596,NA,"ENSG00000274676.1","protein_coding","KIR2DL5A","2","OTTHUMG00000188997.1",NA
"GL000209.2",58558,72919,14362,"-","HAVANA","gene",1541,NA,"ENSG00000276534.5","protein_coding","KIR3DS1","2","OTTHUMG00000188998.1",NA
"GL000209.2",74867,85943,11077,"-","HAVANA","gene",1742,NA,"ENSG00000274193.4","protein_coding","KIR2DL4","2","OTTHUMG00000188999.1",NA
"GL000209.2",91108,104511,13404,"-","HAVANA","gene",1294,NA,"ENSG00000276518.1","protein_coding","KIR3DP1","2","OTTHUMG00000189000.1",NA
"GL000209.2",106757,121079,14323,"-","HAVANA","gene",1371,NA,"ENSG00000273661.5","protein_coding","KIR2DL2","2","OTTHUMG00000189001.1",NA
"GL000209.2",106543,137319,30777,"-","HAVANA","gene",2030,NA,"ENSG00000278152.2","protein_coding","KIR2DS2","2","OTTHUMG00000189002.1",NA
"GL000209.2",139698,151260,11563,"-","HAVANA","gene",1238,NA,"ENSG00000276433.1","protein_coding","KIR3DL3","2","OTTHUMG00000189003.2",NA
"GL000209.2",162305,167842,5538,"-","HAVANA","gene",2127,NA,"ENSG00000277267.4","transcribed_processed_pseudogene","LILRP2","2","OTTHUMG00000189014.1",NA
"GL000209.2",174853,175165,313,"-","HAVANA","gene",183,NA,"ENSG00000274271.1","unprocessed_pseudogene","LILRP1","2","OTTHUMG00000189015.1",NA
"GL000213.1",127840,127946,107,"-","ENSEMBL","gene",107,NA,"ENSG00000278793.1","snRNA","U6","3",NA,NA
"GL000213.1",108007,139659,31653,"-","ENSEMBL","gene",2637,NA,"ENSG00000277630.4","protein_coding","BX072566.1","3",NA,"ncRNA_host"
"GL000216.2",93197,93309,113,"-","ENSEMBL","gene",113,NA,"ENSG00000274202.1","snRNA","U2","3",NA,NA
"GL000218.1",51867,54893,3027,"-","ENSEMBL","gene",3027,NA,"ENSG00000278384.1","protein_coding","AL354822.1","3",NA,NA
"GL000219.1",54224,83311,29088,"-","ENSEMBL","gene",372,NA,"ENSG00000273748.1","protein_coding","AL592183.1","3",NA,NA
